"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Block cipher with improved dynamic indicators of the condition of a random substitution","K. Lisickiy; V. Dolgov; I. Lisickaya","Department of Information Systems and Technologies Security, Kharkov National University them. V. N. Karazine, Kharkov, Ukraine; Department of Information Systems and Technologies Security, Kharkov National University them. V. N. Karazine, Kharkov, Ukraine; Department of Information Systems and Technologies Security, Kharkov National University them. V. N. Karazine, Kharkov, Ukraine","2017 4th International Scientific-Practical Conference Problems of Infocommunications. Science and Technology (PIC S&T)","4 Jan 2018","2017","","","391","395","On the example of the improved cipher of Kalina-2, SPN ciphers with improved indicators of their transition to the state of random substitution is offering. The improvement is basing on the application of the first cycle transformation of the new design, which allows activating all S-blocks of the second cycle. Ciphers are not inferior to the speed of known structures and allow without reducing the stability to use in them random S-blocks.","","978-1-5386-0983-5","10.1109/INFOCOMMST.2017.8246424","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8246424","SPN cipher;dynamic indexes of cipher transition to random substitution;active S-blocks;random S-blocks;performance indicators","Telecommunications;Cybernetics;System analysis and design;Ciphers;Computer science;Physics;Technological innovation","cryptography","random substitution;block cipher;SPN ciphers;Kalina-2","","4","","46","","4 Jan 2018","","","IEEE","IEEE Conferences"
"A review of some recent stream ciphers","M. Kocheta; N. Sujatha; K. Sivakanya; R. Srikanth; S. Shetty; P. V. Ananda Mohan","Electronics Corporation of India Limited, Bangalore 560 003, India; Electronics Corporation of India Limited, Bangalore 560 003, India; Electronics Corporation of India Limited, Bangalore 560 003, India; Electronics Corporation of India Limited, Bangalore 560 003, India; Electronics Corporation of India Limited, Bangalore 560 003, India; Electronics Corporation of India Limited, Bangalore 560 003, India","2013 International conference on Circuits, Controls and Communications (CCUBE)","23 Jan 2014","2013","","","1","6","In this paper, few stream ciphers proposed in e-stream are reviewed. They are evaluated regarding the hardware requirements, strengths and weaknesses. Detailed information about initialization, Key schedule and actual cipher stream generation are discussed in detail for the e-stream ciphers Trivium, Polar Bear, Decim, Mickey, Grain and NLS ciphers. A comparison is presented to highlight the advantages of each of these and attacks described in literature.","","978-1-4799-1601-6","10.1109/CCUBE.2013.6718558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6718558","Stream ciphers;Grain;Mickey;NLS;Decim;Polar Bear;Trivium;Attacks on stream ciphers","Ciphers;Clocks;Shift registers;Boolean functions;Generators;Schedules","Bluetooth;cellular radio;code division multiple access;cryptography","e-stream ciphers;hardware requirements;key schedule;actual cipher stream generation;Trivium ciphers;polar bear ciphers;Mickey ciphers;Grain ciphers;NLS ciphers;Decim ciphers;wireless communication;GSM;CDMA;Bluetooth;WiFi;synchronous stream cipher","","10","","13","","23 Jan 2014","","","IEEE","IEEE Conferences"
"Combining algebraic and side channel attacks on stream ciphers","A. R. Kazmi; M. Afzal; M. F. Amjad; A. Rashdi","College of Signals, National University of Sciences and Technology, Pakistan; College of Signals, National University of Sciences and Technology, Pakistan; College of Signals, National University of Sciences and Technology, Pakistan; College of Signals, National University of Sciences and Technology, Pakistan","2017 International Conference on Communication Technologies (ComTech)","12 Oct 2017","2017","","","138","142","A cryptanalysis technique can be termed successful if its complexity is better than brute force attack, even though it may not be practically feasible due to high complexity. However, it is a proven fact that combining different type of attack techniques in past has paid dividends with regards to overall complexity. We, in this paper propose novel idea of combining algebraic and side channel attacks on stream ciphers. Algebraic cryptanalysis has a high cost when pitched against stream ciphers with nonlinear update and for side channel attacks, adversary needs to have a continued access to cipher's implementation. On the other hand combining both these attacks can overcome their individual shortcomings to a great extent, thereby making it practically feasible. Algebraic and side channel attacks have been earlier combined on block ciphers, but no work on applying such attacks against stream ciphers has been published so far.","","978-1-5090-5984-3","10.1109/COMTECH.2017.8065763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8065763","Algebraic attack;Side channel attack;Algebraic side channel attack;Stream ciphers;Cryptanalysis","Ciphers;Side-channel attacks;Mathematical model;Complexity theory;Hamming weight;Transforms","algebra;cryptography","side channel attacks;stream ciphers;cryptanalysis technique;brute force attack;attack techniques;algebraic cryptanalysis;block ciphers","","4","","25","","12 Oct 2017","","","IEEE","IEEE Conferences"
"3D - Playfair cipher with additional bitwise operation","V. Verma; D. Kaur; R. K. Singh; A. Kaur","Department of Computer Science and IT, Trikuta college of Computer Science, Jammu, India; Department of Information Technology, MBS College of Engineering & Technology, Jammu, India; Patent Research and Analytics Department, CPA Global Support Services, India; Department of Computer Science and IT, NIT Jalandhar, Punjab, India","2013 International Conference on Control, Computing, Communication and Materials (ICCCCM)","31 Oct 2013","2013","","","1","6","3D-Playfair cipher is multiple letter encryption cipher. In this, trigraphs of plaintext are treated as single units and converted into corresponding cipher text trigraphs. 3D-Playfair Ciphers originates due to the limitations in classical Playfair as it supports only alphabets and may not support two alphabets at the same time. It also eliminates the fact that a diagram and its reverse will encrypt in a similar fashion. 3D-Playfair cipher supports all 26 alphabets, 10 digits and 28 special characters. The theme of research is to furnish security to data which contains alphabets numerals and special characters during transmission that's why additional bitwise operations are introduced and applied on the cipher text of 3D-Playfair cipher with a random key. Linear Feedback Shift Register is a good candidate for generation of random sequences and is selected for generating random keys for bitwise operations to offer better security to cipher text before transmission over the internet. Here X-OR or X-NOR operations are taken into consideration for the bitwise operations based on the key.","","978-1-4799-1375-6","10.1109/ICCCCM.2013.6648913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6648913","3D-Playfair cipher;trigraph;X-OR;X-NOR;bitwise operations;LFSR","Ciphers;Floors;Encryption;Linear feedback shift registers","cryptography;graph theory;Internet;shift registers","additional bitwise operation;3D-Playfair cipher;multiple letter encryption cipher;cipher text trigraphs;data security;alphabets numerals;random key;linear feedback shift register;random key generation;X-OR operations;X-NOR operations;Internet","","5","","12","","31 Oct 2013","","","IEEE","IEEE Conferences"
"Stream cipher design using cellular automata implemented on FPGAs","L. Raut; D. H. K. Hoe","Department of Electrical Engineering, The University of Texas at Tyler; Department of Electrical Engineering, The University of Texas at Tyler","45th Southeastern Symposium on System Theory","6 Jun 2013","2013","","","146","149","Pseudo-random number generators (PRNGs) are a key component of stream ciphers used for encryption purposes. While linear feedback shift registers (LFSRs) combined with nonlinear feedback shift registers (NFSRs) have typically been utilized for PRNGs, the use of cellular automata (CA) is another viable option. This paper explores the combination of LFSRs and CA as the key components of an efficient stream cipher design for implementation on Field Programmable Gate Arrays (FPGAs). The proposed stream cipher design builds upon a recent published design known as A2U2. The suite of statistical tests found in the Diehard program is utilized to evaluate the quality of random numbers from the proposed CA-based stream cipher. Comparisons with the A2U2 design indicate that the use of CA have the potential to improve the quality of the random numbers generated and hence increase the security of the cipher.","0094-2898","978-1-4799-0038-1","10.1109/SSST.2013.6524946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6524946","Cellular Automata;Linear/Non-linear feedback shift registers;stream cipher;FPGA","Ciphers;Field programmable gate arrays;Automata;Generators;Hardware;Entropy","cellular automata;cryptography;field programmable gate arrays;random number generation;shift registers","stream cipher design;cellular automata;FPGA;field programmable gate array;pseudorandom number generator;PRNG;encryption purpose;linear feedback shift register;LFSR;nonlinear feedback shift register;NFSR;CA;Diehard program;A2U2 design;cipher security","","3","","8","","6 Jun 2013","","","IEEE","IEEE Conferences"
"Energy model for light-weight block ciphers for WBAN applications","B. J. Mohd; T. Hayajneh; M. Z. Shakir; K. A. Qaraqe; A. V. Vasilakos","Computer Engineering Department, Hashemite University, Zarqa, Jordan; School of Engineering and Computing Sciences, New York Institute of Technology, New York, USA; Dept. of Electrical and Computer Engineering, Texas A&M University at Qatar, Qatar; Dept. of Electrical and Computer Engineering, Texas A&M University at Qatar, Qatar; Computer Science Department, Kuwait University, Kuwait","2014 4th International Conference on Wireless Mobile Communication and Healthcare - Transforming Healthcare Through Innovations in Mobile and Wireless Technologies (MOBIHEALTH)","10 Sep 2015","2014","","","1","4","Wireless body area network (WBAN) devices are resource-constraint devices, in particular for energy. Therefore, it is essential to select the cipher implementation with minimum energy consumption. Determining optimum cipher implementation is an arduous task due to lack of uniform platform for comparison and deviations in measuring and reporting the performance metrics. Hence, it is important to model the performance of the cipher design. This article presents a novel energy model for light-weight block cipher hardware implementation based on the design parameters. The model usage is then demonstrated by studying the energy trend versus the number of rounds. It shows that there exists an optimum number of rounds per cycle to minimize energy.","","978-1-63190-014-3","10.1109/MOBIHEALTH.2014.7250500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7250500","WBAN;security;wireless sensor networks;encryption;cipher model","Ciphers;Body area networks;Wireless communication;Hardware;Wireless sensor networks;Niobium","body area networks;cryptography;telecommunication security","energy model;light-weight block cipher hardware implementation;WBAN applications;wireless body area network devices;resource-constraint devices;minimum energy consumption;optimum cipher implementation;design parameters;energy minimization","","","","","","10 Sep 2015","","","IEEE","IEEE Conferences"
"An extended Playfair Cipher using rotation and random swap patterns","S. Hans; R. Johari; V. Gautam","University school of Information & Communication Technology, Guru Gobind Singh Indraprastha University, New Delhi, India; University school of Information & Communication Technology, Guru Gobind Singh Indraprastha University, New Delhi, India; University school of Information & Communication Technology, Guru Gobind Singh Indraprastha University, New Delhi, India","2014 International Conference on Computer and Communication Technology (ICCCT)","8 Jan 2015","2014","","","157","160","In this paper, we have proposed an encryption method which is developed by extending Playfair Cipher to make it more secure. Known as Polyalphabetic cipher, Playfair uses a key matrix containing 25 characters for encryption. This extended playfair cipher supports all 26 characters filled in two different key matrices, second matrix having extra checksum characters. As Playfair is susceptible to various attacks, so to avoid that, we included rotation operation on key matrices and swapping of rows and columns of key matrices according to randomly generated swap patterns. Cryptanalysis of new proposed extended cipher is done by performing various attacks and we conclude that this technique is more secure and can be used as a part of advanced encryption algorithms like AES, DES.","","978-1-4799-6758-2","10.1109/ICCCT.2014.7001485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001485","Playfair Cipher;Encryption algorithm;Security Cryptography;Cipher Attack","Ciphers;Encryption;Finite element analysis;Educational institutions;Matrix converters","cryptography;matrix algebra;random processes","extended playfair cipher;rotation pattern;random swap pattern;encryption method;polyalphabetic cipher;key matrix;checksum character;randomly generated swap pattern;cryptanalysis;advanced encryption algorithm;AES;DES","","6","","9","","8 Jan 2015","","","IEEE","IEEE Conferences"
"Secret data transmission using vital image steganography over transposition cipher","M. Jain; S. K. Lenka","Department of Information Technology, Mody University of Science and Technology, Laxmangarh, Rajasthan, India; Department of Information Technology, Mody University of Science and Technology, Laxmangarh, Rajasthan, India","2015 International Conference on Green Computing and Internet of Things (ICGCIoT)","14 Jan 2016","2015","","","1026","1029","The idea behind this paper describes a modality about secret interface over the globalization of the communication over the world. To accomplish this phenomenon, two varieties of security mechanism, cryptography and steganography is being applied. At the former stage, encryption is being provided to secret plain text using Vernam cipher (One-Time Pad) transposition technique, since Vernam cipher show good performance metrics in terms of less CPU running time, file size same after encryption and strong avalanche effect compare with all transposition cipher. And at the later stage, it transform cipher text into bytes and divides each byte into pairs of bits and assigns the decimal values to each pairs, which is known as master variable, master variable value range will be vary between 0 to 3. Depending upon the master patchy value, add that cipher text in the career image at Least Significant Bit (LSB) 6th and 7th bit location or 7th and 8th bit location or 7th and 6th or 8th and 7th bit location. Which shows the embedding location dynamicity of the algorithm depends upon dynamically changed master variable value. After completion of embedding and sending the stego image to the receiver side, retrieving process of the cipher text from the said locations will be done. And then decryption process to get the secret plain text back will be performed using the Vernam cipher transposition algorithms. In this we provide robust image steganography. Performance analysis observed using MSE and PSNR value.","","978-1-4673-7910-6","10.1109/ICGCIoT.2015.7380614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7380614","LSB;steganography;cryptography;Vernam cipher;encryption;decryption;embedding","Heuristic algorithms;Yttrium;Performance analysis;MATLAB;Ciphers;Payloads","cryptography;image coding;mean square error methods;steganography","secret data transmission;image steganography;security mechanism;cryptography;secret plain text;cipher text;least significant bit;LSB;stego image;Vernam cipher transposition algorithms;MSE;PSNR","","7","","12","","14 Jan 2016","","","IEEE","IEEE Conferences"
"The prospects for group-based knapsack ciphers in the post-quantum era","A. Vambol","Department of Computer Systems, Networks and Cybersecurity, National Aerospace University «KhAI», Ukraine","2018 IEEE 9th International Conference on Dependable Systems, Services and Technologies (DESSERT)","12 Jul 2018","2018","","","271","275","The aim of this paper is to analyze a new subclass of the knapsack-like ciphers, which is based on computations in the finite groups. Particular attention is paid to its representative built using diagonal groups and general linear groups over a Galois field. Within the scope of this work this subclass and its aforesaid representative are designated as “group-based knapsack ciphers” and “matrix-based knapsack cipher”, respectively. The given cryptosystems deserve consideration in the context of the post-quantum cryptography, since the general knapsack problem is NP-complete. The investigated characteristics of cryptographic schemes comprise the ciphertext expansion coefficient as well as a performance of the encryption and decryption procedures. Building a group-based knapsack cipher faces the problem of choosing such underlying groups that would allow this cryptosystem to have good characteristics. Thus, the results of the analysis show that in spite of the acceptable aforementioned performance characteristics, the matrix-based knapsack cipher suffers from a large expansion of encrypted data. Therefore, this cryptosystem cannot yet be considered as the one of the most promising ciphers suitable for use in the post-quantum era.","","978-1-5386-5903-8","10.1109/DESSERT.2018.8409143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409143","group-based knapsack ciphers;matrix-based knapsack cipher;time complexity;ciphertext expansion;post-quantum cryptography;knapsack cryptosystems","Ciphers;Encryption;Buildings;Quantum computing;Matrices;Galois fields","computational complexity;Galois fields;knapsack problems;quantum cryptography","general knapsack problem;group-based knapsack cipher;matrix-based knapsack cipher;post-quantum era;finite groups;diagonal groups;general linear groups;decryption procedures;encryption procedures;ciphertext expansion coefficient;NP-complete;post-quantum cryptography;Galois field","","","","14","","12 Jul 2018","","","IEEE","IEEE Conferences"
"Complexity Evaluation of Constructing Method for Saturated Best Resilient Functions in Stream Cipher Design","S. B. Sadkhan; S. F. Jawad","University of Babylon,IT College Information Network dept.,Babil,Iraq; Al-Mustansyriah University,Science College Computer Science Dept.,Baghdad,Iraq","2019 1st AL-Noor International Conference for Science and Technology (NICST)","23 Mar 2020","2019","","","85","88","The role of the nonlinear Boolean function in the design of secure stream cipher considered as an important approach in the design of Stream cipher cryptosystem. It is well known that the main aspect in the stream cipher security is the Key generators, which generate a key sequence, which will be used to encrypt the data. This paper introduces a method for constructing the Saturated Best Resilient Functions (SBRS), and provides an evaluation to the nonlinearity, resiliency, algebraic degree and complexity of the SBRS functions, that designed to enhance the security of stream cipher crypto-systems.","","978-1-7281-6584-4","10.1109/NICST49484.2019.9043782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043782","complexity;Boolean function;stream cipher;Resilient function","Boolean functions;Correlation;Complexity theory;Ciphers;Transforms;Resilience","Boolean functions;computational complexity;cryptography;nonlinear functions","complexity evaluation;constructing method;Saturated Best Resilient Functions;Stream cipher design;nonlinear Boolean function;secure stream cipher;Stream cipher cryptosystem;stream cipher security;Key generators;key sequence;algebraic degree;SBRS functions","","11","","24","","23 Mar 2020","","","IEEE","IEEE Conferences"
