"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Parallel Algorithmic Optimization and Achievement for LDPC Encoding and Decoding on CUDA Platform","L. Zhen; W. Yunpei; L. Lulu","Sch. of Comput. Sci. & Eng., Jiangsu Univ. of Sci. & Technol., Zhenjiang, China; Sch. of Comput. Sci. & Eng., Jiangsu Univ. of Sci. & Technol., Zhenjiang, China; Sch. of Comput. Sci. & Eng., Jiangsu Univ. of Sci. & Technol., Zhenjiang, China","2015 International Conference on Computational Science and Computational Intelligence (CSCI)","3 Mar 2016","2015","","","632","636","With the development of mobile Internet applications, the fourth generation mobile communication (4G) has been widely used, low-density parity-check (LDPC) codes have gradually become the first choice for 4G communication because of its superior performance. For the short of traditional encoding and belief propagation (BP) decoding algorithm, this paper adopts a method of parallel processing for LDPC encoding and decoding which is finally realized on the mobile terminal. On the CUDA platform, CPU scheduling and GPU parallelization are used to process a large number of repeated operations so that parallel encoding algorithm and heterogeneous parallel BP algorithm are achieved and the efficiency is significantly improved.","","978-1-4673-9795-7","10.1109/CSCI.2015.189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424168","LDPC codes; encoding algorithm; BP algorithm; parallelization","Decoding;Algorithm design and analysis;Graphics processing units;Parity check codes;Probability;Channel coding","4G mobile communication;graphics processing units;microprocessor chips;parallel algorithms;parallel architectures;parity check codes;processor scheduling;telecommunication computing","parallel algorithmic optimization;LDPC encoding;LDPC decoding;CUDA platform;mobile Internet applications;fourth-generation mobile communication;low-density parity-check codes;4G communication;parallel processing;mobile terminal;CPU scheduling;GPU parallelization;parallel encoding algorithm;heterogeneous parallel BP algorithm;belief propagation algorithm;efficiency improvement","","1","","9","","3 Mar 2016","","","IEEE","IEEE Conferences"
"An improved LT encoding scheme with extended chain lengths","K. Yen; C. Chen; H. Chang","Department of Electronics Engineering & Institute of Electronics National Chiao Tung University Hsinchu, Taiwan, R.O.C.; Department of Electronics Engineering & Institute of Electronics National Chiao Tung University Hsinchu, Taiwan, R.O.C.; Department of Electronics Engineering & Institute of Electronics National Chiao Tung University Hsinchu, Taiwan, R.O.C.","2012 International Symposium on Information Theory and its Applications","7 Jan 2013","2012","","","11","15","The BP decoding terminates frequently during the early stage for LT codes with the robust Soliton distribution. Generally, more than 90% of undecoded input symbols result from decoding termination within the range 0 ≤ n ≤ k/2, where n and k are the decoded and total number of input symbols, respectively. This study focuses on reducing the symbol loss probability by preventing early decoding termination. Input symbols can be divided into decoding chains with respect to the connectivity of degree-2 encoding symbols such that neighbors of a degree-2 encoding symbol belong to the same decoding chain. The number of input symbols in a decoding chain is called the chain length. It is found that the average chain length is shorter if the decoding termination occurs within 0 ≤ n ≤ k/2. We propose an encoding scheme which increases the chain length to avoid early decoding termination. Each code block is divided into two groups - the first one contains τ randomly selected input symbols, while the rest k - τ symbols form the second group. Neighbors of any degree-2 encoding symbol are restricted from different groups of input symbols. The probability that two degree-2 encoding symbols have a neighbor in common is increased, leading to longer decoding chain on average. Simulation results show that the symbol loss probability of the proposed encoding scheme is always lower than that of the LT encoding. The improvement by our scheme in the symbol loss probability increases with k. In comparison with the LT encoding, when the overhead is sufficiently large, the proposed scheme also achieve higher probability of successful decoding.","","978-4-88552-267-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6400898","LT code;degree;BP decoding;decoding chain;chain length","Encoding;Decoding;Solitons;Robustness;Receivers;Streaming media;Simulation","decoding;probability;solitons","improved LT encoding scheme;extended chain lengths;BP decoding;robust soliton distribution;undecoded input symbols;symbol loss probability;early decoding termination;decoding chains;degree-2 encoding symbols;τ randomly selected input symbols;Luby transform code","","","","14","","7 Jan 2013","","","IEEE","IEEE Conferences"
"Channel shared information encoding with wavelength multiplexed metasurface","Z. Li; W. Zhu","Shanghai Jiao Tong University,Department of Electronic Engineering,Shanghai,China,200240; Shanghai Jiao Tong University,Department of Electronic Engineering,Shanghai,China,200240","2020 IEEE MTT-S International Conference on Numerical Electromagnetic and Multiphysics Modeling and Optimization (NEMO)","8 Feb 2021","2020","","","1","3","Multi-channel information encryption technology has been implemented by metasurfaces owing to their superior capability in manipulating phase, amplitude, wavelength and polarization of incident light. However, any non-full-channel decoding may lead to the leakage of secret information. To further improve the security of information, in this paper, we propose a channel shared information encoding scheme by integrating visual secret sharing scheme with metasurface-based phase-encoding technique. The secret information can be reconstructed only by decoding all the wavelength channels of the metasurface, whiles meaningless images would be extracted in other channel decoding processes, without revealing any original information. The simulated results show the feasibility and adjustability of our encryption system, which can be potentially applied in future optical information security systems.","","978-1-7281-6966-8","10.1109/NEMO49486.2020.9343557","National Natural Science Foundation of China; Natural Science Foundation of Shanghai; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343557","Information encryption;metasurface;visual secret sharing;phase encoding","Optical polarization;Metasurfaces;Optical imaging;Encoding;Encryption;Decoding;Data mining","cryptography;decoding;image coding;security of data","future optical information security systems;wavelength multiplexed metasurface;multichannel information encryption technology;superior capability;manipulating phase;polarization;incident light;nonfull-channel decoding;secret information;information encoding scheme;visual secret sharing scheme;metasurface-based phase-encoding technique;wavelength channels;channel decoding processes","","","","18","","8 Feb 2021","","","IEEE","IEEE Conferences"
"Video quality in multiple HEVC encoding-decoding cycles","J. Stankowski; T. Grajek; K. Wegner; M. Domanski","Chair of Multimedia Telecommunications and Microelectronics, Poznan University of Technology, ul. Polanka 3, 60-965 Poznan; Chair of Multimedia Telecommunications and Microelectronics, Poznan University of Technology, ul. Polanka 3, 60-965 Poznan; Chair of Multimedia Telecommunications and Microelectronics, Poznan University of Technology, ul. Polanka 3, 60-965 Poznan; Chair of Multimedia Telecommunications and Microelectronics, Poznan University of Technology, ul. Polanka 3, 60-965 Poznan","2013 20th International Conference on Systems, Signals and Image Processing (IWSSIP)","10 Oct 2013","2013","","","75","78","Paper concerns accumulation of video-quality losses in multiple HEVC encoding and decoding cycles. The results of extensive experiments with standard video test sequences are reported. General conclusions has been drawn about relative quality losses after each cycle, as well as about total quality loss with respect to first cycle. In general, quality losses after each cycle are decreasing and total quality loss is saturating after several cycles. Total quality losses after several cycles are hardly dependent on sequence content.","2157-8702","978-1-4799-0944-5","10.1109/IWSSIP.2013.6623453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6623453","video;compression;video coding;multiple cycles;transcoding;HEVC;H.265;MPEG;MPEG-H","Encoding;Transform coding;Materials;Bit rate;Decoding;Standards;Video coding","decoding;image sequences;video coding","HEVC encoding-decoding cycles;video-quality losses;standard video test sequences;total quality loss;sequence content","","4","","8","","10 Oct 2013","","","IEEE","IEEE Conferences"
"A Unified View on Known Algebraic Decoding Algorithms and New Decoding Concepts","M. Bossert; S. Bezzateev","Institute of Communications Engineering, University of Ulm, Germany; Department of Information Systems and Security, Saint Petersburg State University of Airspace Instrumentation, Saint-Petersburg, Russia","IEEE Transactions on Information Theory","16 Oct 2013","2013","59","11","7320","7336","Known properties of cyclic codes are used to give a unified description of many classical decoding algorithms for Reed-Solomon codes up to half the minimum distance. This description allows also simplified proofs for these decoders. Further, a novel decoding algorithm is derived using these properties directly and variants of a new error/erasure decoding algorithm are given. For decoding beyond half the minimum distance, a basis of all solutions for decoding is derived. This basis allows to use side information in order to decode beyond half the minimum distance. Other methods where this basis can be used are power decoding, also known as virtual syndrome extension, where additional equations are generated by taking powers of the received symbols, and interleaved Reed-Solomon codes. The extended Euclidean algorithm, which calculates the greatest common divisor, plays an essential role in many presented methods.","1557-9654","","10.1109/TIT.2013.2274454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578153","Algebraic decoding;error/erasure decoding;power decoding;Reed-Solomon codes","Polynomials;Decoding;Parity check codes;Mathematical model;Generators;Encoding","algebraic codes;cyclic codes;decoding;Reed-Solomon codes","algebraic decoding algorithm;decoding concept;cyclic codes;classical decoding algorithm;error-erasure decoding algorithm;power decoding;virtual syndrome extension;received symbol;interleaved Reed-Solomon codes;extended Euclidean algorithm","","4","","38","","15 Aug 2013","","","IEEE","IEEE Journals"
"A Low Complexity Sequential Decoding Algorithm for Rateless Spinal Codes","W. Yang; Y. Li; X. Yu; J. Li","State Key Lab. of ISN, Xidian Univ., Xi'an, China; State Key Lab. of ISN, Xidian Univ., Xi'an, China; State Key Lab. of ISN, Xidian Univ., Xi'an, China; State Key Lab. of ISN, Xidian Univ., Xi'an, China","IEEE Communications Letters","8 Jul 2015","2015","19","7","1105","1108","A forward stack decoding (FSD) algorithm for rateless spinal codes is proposed in this letter. This decoding algorithm divides the decoding tree of the spinal code into several layers, and then searches the decoding paths in each single layer. Compared with the bubble decoder, which was initially designed for spinal codes, the proposed FSD algorithm can decrease the complexity significantly without sacrificing the rate performance. We also illustrate that the complexity of the FSD algorithm decreases with the increase of the signal-to-noise ratio (SNR). Simulation shows that the complexity of the FSD algorithm is only 15.37% of that of the bubble decoder when SNR is 20 dB.","1558-2558","","10.1109/LCOMM.2015.2438062","973 Program(grant numbers:2012CB316100); NSFC(grant numbers:61301177); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113798","Rateless spinal codes;sequential decoding;forward stack decoding algorithm;Rateless spinal codes;sequential decoding;forward stack decoding algorithm","Complexity theory;Measurement;Maximum likelihood decoding;Algorithm design and analysis;Signal to noise ratio;Encoding","sequential decoding;trees (mathematics)","FSD algorithm;bubble decoder;decoding tree;forward stack decoding algorithm;rateless spinal codes;low complexity sequential decoding algorithm","","19","","14","","1 Jun 2015","","","IEEE","IEEE Journals"
"A Modified Genetic Algorithm With New Encoding and Decoding Methods for Integrated Process Planning and Scheduling Problem","Q. Liu; X. Li; L. Gao; Y. Li","State Key Laboratory of Digital Manufacturing Equipment and Technology, Huazhong University of Science and Technology, Wuhan 430074, China.; State Key Laboratory of Digital Manufacturing Equipment and Technology, Huazhong University of Science and Technology, Wuhan 430074, China (e-mail: lyl_elena@163.com).; State Key Laboratory of Digital Manufacturing Equipment and Technology, Huazhong University of Science and Technology, Wuhan 430074, China.; State Key Laboratory of Digital Manufacturing Equipment and Technology, Huazhong University of Science and Technology, Wuhan 430074, China.","IEEE Transactions on Cybernetics","","2020","PP","99","1","10","Due to the complementarity of the process planning and shop scheduling, their integration can greatly facilitate the development of the intelligent manufacturing system. In the last decade, the integrated process planning and scheduling (IPPS) problem has become a research hotspot in the manufacturing system area. It is an NP-hard problem and is more complicated than the job shop scheduling problem. Although some progress has been obtained in the IPPS field, there are still many unsolved open problems. In this article, the novel integrated encoding and decoding methods are proposed by considering the OR-node of the process network graph. Moreover, a modified genetic algorithm (MGA) is designed based on the proposed coding methods. The process planning and the scheduling parts can be represented simultaneously in one individual. As for the precedence constraints between operations, the specifically designed operators are able to guarantee the feasibility of the operation sequence during the searching procedure. Then, the superiority of MGA is verified by updating nine new records on 37 well-known open problems, four of them reach their lower bounds. In addition, the proposed algorithm is also tested on a real-world case from a nonstandard equipment workshop in a Chinese machine tool company, which produces a common module of a packaging machine. The results show that the proposed MGA can solve the real-world case better than the comparative algorithms.","2168-2275","","10.1109/TCYB.2020.3026651","National Key Research and Development Project(grant numbers:2019YFB1704600); National Natural Science Foundation of China(grant numbers:51825502,51775216); Program for HUST Academic Frontier Youth Team(grant numbers:2017QYTD04); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226090","Encoding and decoding methods;genetic algorithm (GA);integrated process planning and scheduling (IPPS);open problem","Job shop scheduling;Encoding;Biological cells;Process planning;Decoding;Genetics","","","","1","","","IEEE","15 Oct 2020","","","IEEE","IEEE Early Access Articles"
"Binary Variable-to-Fixed Length Balancing Scheme With Simple Encoding/Decoding","T. G. Swart; J. H. Weber","Department of Electrical and Electronic Engineering Science, University of Johannesburg, Auckland Park, South Africa; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technology, Delft, The Netherlands","IEEE Communications Letters","9 Oct 2018","2018","22","10","1992","1995","We present a systematic variable-to-fixed length scheme encoding binary information sequences into binary balanced sequences. The redundancy of the proposed scheme is larger than the redundancy of the best fixed-to-fixed length schemes in the case of long codes, but it is smaller in the case of short codes. The biggest advantage comes from the simplicity of the scheme: encoding only requires one to keep track of the sequence weight, while decoding requires only one extremely simple step, irrespective of the sequence length.","1558-2558","","10.1109/LCOMM.2018.2865350","National Research Foundation of South Africa(grant numbers:109543); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8434311","Balanced code;constrained code;dc-free code;variable length","Redundancy;Encoding;Decoding;Table lookup;Memory management;Systematics;Electronic mail","binary codes;binary sequences;decoding;redundancy","binary information sequences;binary balanced sequences;redundancy;fixed-to-fixed length schemes;sequence weight;sequence length;binary variable-to-fixed length balancing scheme;simple encoding-decoding","","3","","12","","13 Aug 2018","","","IEEE","IEEE Journals"
"Multi-generation encoding using HEVC All Intra versus JPEG 2000","K. Wegner; T. Grajek; D. Karwowski; J. Stankowski; K. Klimaszewski; O. Stankiewicz; M. Domanski","University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland; University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland; University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland; University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland; University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland; University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland; University of Technology, Chair of Multimedia Telecommunications and Microelectronics, Poland","2015 57th International Symposium ELMAR (ELMAR)","23 Nov 2015","2015","","","41","44","For the new HEVC compression technology, the analysis of accumulation of quality losses in multi-generation coding is still an open problem. In this paper, we describe the results of extensive experiments that demonstrate quality loss accumulation in 300 encoding-decoding cycles using the HEVC codec in the All Intra mode. For consecutive encoding cycles with constant encoder configuration, the coding quality loss decrease much slower than for JPEG 2000. However, for SD resolution, the HEVC intra-only encoder provides lower bitrates than JPEG 2000 with the same video quality. Therefore, even after 300 cycles, the HEVC All Intra usually provides lower bitrates than JPEG 2000 with the same decoded-video quality.","","978-953-184-209-9","10.1109/ELMAR.2015.7334491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7334491","HEVC;JPEG 2000;multi-generation coding;multiple encoding-decoding cycles;bitrate","Image coding;Transform coding;Video coding;Hafnium;Decision support systems;Image color analysis;Encoding","data compression;decoding;video codecs;video coding","multigeneration encoding;JPEG 2000;HEVC compression technology;quality loss;encoding-decoding cycle;HEVC codec;HEVC all intra mode;SD resolution;HEVC intra-only encoder;high efficiency video coding;video quality","","1","","16","","23 Nov 2015","","","IEEE","IEEE Conferences"
"Iterative symbol decoding of convolutionally-encoded variable-length codes","C. Wu; T. Hsu; W. Chang","Institute of Communications Engineering, National Chiao-Tung University, Hsinchu, Taiwan, ROC; Institute of Communications Engineering, National Chiao-Tung University, Hsinchu, Taiwan, ROC; Institute of Communications Engineering, National Chiao-Tung University, Hsinchu, Taiwan, ROC","2011 8th International Conference on Information, Communications & Signal Processing","3 Apr 2012","2011","","","1","5","In this paper, we present a symbol-level iterative source-channel decoding algorithm for variable-length codes (VLCs). First a soft-input source decoder for VLC-encoded data is derived by modification of the BCJR forward-backward recursion and adaptation to the nonstationary VLC trellis. Also proposed is a recursive implementation based on sectionalized code trellises for MAP symbol decoding of binary convolutional codes. This allows to use a merged trellis representation for a VLC and a convolutional channel code and exploit the residual source redundancies as a priori information on a code trellis. Simulation results indicate that the proposed iterative decoder allows to exchange between its constituent decoders the symbol-level extrinsic information and achieves high robustness against channel noises.","","978-1-4577-0031-6","10.1109/ICICS.2011.6174312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6174312","variable-length codes;iterative source-channel decoding;sectionalized code trellis;extrinsic information","Decoding;Iterative decoding;Indexes;Convolutional codes;Redundancy;AWGN channels;Signal to noise ratio","binary codes;channel coding;combined source-channel coding;convolutional codes;iterative decoding;maximum likelihood decoding;maximum likelihood estimation;redundancy;trellis codes;variable length codes","convolutionally-encoded variable length codes;symbol-level iterative source channel decoding algorithm;soft-input source decoder;VLC-encoded data;BCJR forward-backward recursion;nonstationary VLC trellis;recursive implementation;sectionalized code trellises;MAP symbol decoding;binary convolutional codes;merged trellis representation;convolutional channel code;residual source redundancy;a priori information;symbol-level extrinsic information;channel noise","","","","7","","3 Apr 2012","","","IEEE","IEEE Conferences"
