"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"IEEE Standard for Advanced Audio Coding","",,"IEEE Std 1857.2-2013","8 Nov 2013","2013","","","1","343","This standard defines a set of tools to support specific audio coding functions including general audio coding and lossless audio coding. The tool set defined in this standard, in combination provides regular high quality and efficient coding tool sets for compression, decompression, processing, and representing of audio data to save bandwidth for transmission, to save space for storage, to speed up indexing and multimedia search, and to enhance performance when using mixed media for virtual reality and other applications that demand high bandwidth. The target applications and services include but not limited audio transmission, audio recording, internet streaming, and other video/audio enabled services and applications.;This standard defines a set of tools to support specific audio coding functions including general audio coding and lossless audio coding. The tool set defined in this standard, in combination provides regular high quality and efficient coding tool sets for compression, decompression, processing, and representing of audio data to save bandwidth for transmission, to save space for storage, to speed up indexing and multimedia search, and to enhance performance when using mixed media for virtual reality and other applications that demand high bandwidth. The target applications and services include but not limited audio transmission, audio recording, internet streaming, and other video/audio enabled services and applications.","","978-0-7381-8558-3","10.1109/IEEESTD.2013.6658828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658828","audio coding;scalable coding;lossless coding;LPC;vector quantization;bit-plane coding;PQ-SPSC;entropy coding","IEEE standards;Audio coding;Loss measurement;Entropy;Encoding","audio coding;audio recording;data compression;IEEE standards;Internet;telecommunication standards;virtual reality","video/audio enabled services;Internet streaming;audio recording;audio transmission;virtual reality;audio data processing;audio data decompression;audio data compression;lossless audio coding;IEEE standard","","","","0","","8 Nov 2013","","","IEEE","IEEE Standards"
"Audio Encryption Algorithm Using Modified Elliptical Curve Cryptography and Arnold Transform for Audio Watermarking","R. Shelke; M. Nemade","Faculty of Engineering, Pacific Academy of Higher Education and Research University, Udaipur, India; Department of Electronics Engineering, K. J. Somaiya Institute of Engineering & Information Technology, Mumbai, India","2018 3rd International Conference for Convergence in Technology (I2CT)","11 Nov 2018","2018","","","1","4","Tremendous development in the digital technology has necessitated the copyright protection and authentication of the images, audios, video and documents using watermarking techniques. Audio watermarking is more challenging due to the fact that dynamic supremacy of hearing capacity over the visual field. Encryption of the watermark signal or image enhances its security under malicious attacks through high entropy. In this paper, performance of the proposed audio encryption algorithm using modified elliptical curve cryptography and Arnold transform is evaluated to determine its suitability for audio watermarking techniques. Elliptical curve cryptography benefits from smaller key size and large key space without sacrificing on level of security. Arnold transform is commonly employed in two dimensional domains for scattering of the pixels in an image. Single dimensional audio signal was converted into two dimensional signals before applying Arnold transform through elliptical curve cryptography. Experimental simulations were performed to evaluate the performance of the encryption algorithm through appropriate parameters and under general signal processing attacks. Audio encryption finds applications in the area of ownership protection, temper detection and authentication of music's, airline traffic monitoring and controlling, broadcast monitoring and voice activated commands for machine control and operations.","","978-1-5386-4273-3","10.1109/I2CT.2018.8529329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529329","Audio encryption algorithms;Arnold transform;Elliptical curve cryptography;Signal processing attacks","Encryption;Transforms;Elliptic curve cryptography;Watermarking;Signal processing algorithms","audio signal processing;audio watermarking;copy protection;copyright;public key cryptography;transforms","audio encryption algorithm;modified elliptical curve cryptography;Arnold transform;copyright protection;authentication;watermark signal;audio watermarking techniques;single dimensional audio signal;ownership protection;temper detection","","2","","12","","11 Nov 2018","","","IEEE","IEEE Conferences"
"Audio processing with channel filtering using DSP techniques","J. Jiang","Department of Engineering Technology, Purdue University Northwest, Westville, IN, USA","2018 IEEE 8th Annual Computing and Communication Workshop and Conference (CCWC)","26 Feb 2018","2018","","","545","550","In this paper, a novel surround sound system operated by DSP boards is developed. Besides woofer(s) and tweeter(s), the audio system has been improved by adding additional speakers for handling mid-frequencies by designing a particular band-pass filter to process its mid-range. Meanwhile, three audio amplifiers are built to drive woofer (low frequency), mid-frequency speaker, and tweeter (high frequency), respectively. The practical audio amplifiers are also created with moderate gains in order to power speakers, in which the amplification circuits are modified using the data sheet of audio chip LM386 IC. Three different types of filters, which are low-pass, band-pass and high-pass, are also designed using the Remez exchange algorithm by MATLAB. Then, the obtained filter coefficients are loaded into two DSP boards (TMS320C6713) to process the sound signals in the full audio frequency range. Finally, the processed audio data are enhanced by audio amplifiers strong enough to power three sets of speakers: bass, mid-range, and tweeters. In addition to developing and testing the system, the research methodology and design is summarized and future improvements are discussed.","","978-1-5386-4649-6","10.1109/CCWC.2018.8301696","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8301696","Audio amplifiers;optimal design method;digital signal processing (DSP) techniques;Remez exchange function;Parks-McClellan algorithm;TMS320C6713 DSP board;bass;mid-range speaker;tweeter","Band-pass filters;Low pass filters;Finite impulse response filters;Audio systems;Matlab;Cutoff frequency","acoustic signal processing;audio signal processing;audio-frequency amplifiers;band-pass filters;digital signal processing chips;high-pass filters;low-pass filters;low-power electronics","channel filtering;DSP techniques;novel surround sound system;DSP boards;woofer;tweeter;audio system;bass;sound signal processing;Matlab;Remez exchange algorithm;high-pass filter;low-pass filter;amplification circuits;high frequency speaker;low frequency speaker;full audio frequency range;audio amplifiers;band-pass filter;audio signal processing;sound signals;filter coefficients;audio chip LM386 IC;data sheet;power speakers;mid-frequency speaker","","2","","7","","26 Feb 2018","","","IEEE","IEEE Conferences"
"Audio Compression Algorithm using Discrete Cosine Transform (DCT) and Lempel-Ziv-Welch (LZW) Encoding Method","S. Shukla; M. Ahirwar; R. Gupta; S. Jain; D. S. Rajput","ECE Department, IGEC, Sagar; ECE Department, IGEC, Sagar; ECE Department, IGEC, Sagar; ECE Department, IGEC, Sagar; ECE Department, IGEC, Sagar","2019 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COMITCon)","11 Oct 2019","2019","","","476","480","This paper proposes a new approach to Audio Compression that incorporates lossless text compression algorithm. The purpose of Audio Compression is to reduce the amount of data required to represent the digital audio by removing redundant data. In the present work Discrete Cosine Transform and lossless text compression method (Lempel-Ziv-Welch method) based Audio Compression algorithm has been proposed which also includes audio normalization, scalar quantization and encoding. The LZW dictionary obtained after compression is used for transmission and storage. The performance of the proposed algorithm is analyzed using various audio specimens of distinct size with distinct audio signal parameters. The compression performance is assessed using Peak Signal to Noise Ratio (PSNR) and Compression Ratio (CR). The audio specimen outcomes indicate the propitious performance of proposed algorithm. The compression ratio can be enhanced by changing various parameters of the system.","","978-1-7281-0211-5","10.1109/COMITCon.2019.8862228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8862228","Audio Compression;Lempel-Ziv-Welch (LZW) Coding;Discrete Cosine Transform (DCT);Scalar Quantization;Audio Masking","Discrete cosine transforms;Encoding;Image coding;Dictionaries;Audio compression;Decoding;Quantization (signal)","audio coding;data compression;discrete cosine transforms;image coding","audio specimen outcomes;compression ratio;distinct audio signal parameters;audio specimens;audio normalization;Lempel-Ziv-Welch method;lossless text compression method;work Discrete Cosine Transform;digital audio;lossless text compression algorithm;Lempel-Ziv-Welch encoding method;Audio Compression algorithm","","","","9","","11 Oct 2019","","","IEEE","IEEE Conferences"
"Nonlinear Audio Systems Identification Through Audio Input Gaussianization","I. Mezghani-Marrakchi; G. Mahé; S. Djaziri-Larbi; M. Jaïdane; M. Turki-Hadj Alouane","Ecole Nationale d'Ingégnieurs de Sousse, Université de Sousse, Tunisia; UFR math-info, Université Paris Descartes, Paris Cedex, France; Ecole Nationale d'Ingénieurs de Tunis, Université Tunis El Manar, Tunisia; Ecole Nationale d'Ingénieurs de Tunis, Université Tunis El Manar, Tunisia; Ecole Nationale d'Ingénieurs de Tunis, Université Tunis El Manar, Tunisia","IEEE/ACM Transactions on Audio, Speech, and Language Processing","19 Nov 2013","2014","22","1","41","53","Nonlinear audio system identification generally relies on Gaussianity, whiteness and stationarity hypothesis on the input signal, although audio signals are non-Gaussian, highly correlated and non-stationary. However, since the physical behavior of nonlinear audio systems is input-dependent, they should be identified using natural audio signals (speech or music) as input, instead of artificial signals (sweeps or noise) as usually done. We propose an identification scheme that conditions audio signals to fit the desired properties for an efficient identification. The identification system consists in (1) a Gaussianization step that makes the signal near-Gaussian under a perceptual constraint; (2) a predictor filterbank that whitens the signal; (3) an orthonormalization step that enhances the statistical properties of the input vector of the last step, under a Gaussianity hypothesis; (4) an adaptive nonlinear model. The proposed scheme enhances the convergence rate of the identification and reduces the steady state identification error, compared to other schemes, for example the classical adaptive nonlinear identification.","2329-9304","","10.1109/TASL.2013.2282214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6600774","Audio gaussianization;nonlinear system identification;orthonormalization","Speech;Correlation;Laplace equations;Polynomials;Speech processing;Manganese;Nonlinear systems","audio signal processing;channel bank filters;Gaussian processes","nonlinear audio system identification;audio input Gaussianization;artificial signals;audio signals;Gaussianization step;perceptual constraint;predictor filterbank;orthonormalization step;statistical properties;Gaussianity hypothesis;adaptive nonlinear model;steady state identification error","","10","","32","","16 Sep 2013","","","IEEE","IEEE Journals"
"Immersive Audio Coding for Virtual Reality Using a Metadata-assisted Extension of the 3GPP EVS Codec","D. McGrath; S. Bruhn; H. Purnhagen; M. Eckert; J. Torres; S. Brown; D. Darcy","Dolby Australia Pty. Ltd., Sydney, Australia; Dolby Sweden AB, Stockholm, Sweden; Dolby Sweden AB, Stockholm, Sweden; Dolby Australia Pty. Ltd., Sydney, Australia; Dolby Australia Pty. Ltd., Sydney, Australia; Dolby Australia Pty. Ltd., Sydney, Australia; Dolby Laboratories, Inc., San Francisco, USA","ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","16 Apr 2019","2019","","","730","734","Virtual Reality (VR) audio scenes may be composed of a very large number of audio elements, including dynamic audio objects, fixed audio channels and scene-based audio elements such as Higher Order Ambisonics (HOA). Potentially, the subjective listening experience may be replicated using a compact spatial format with a set number of dynamic objects and scene-based elements, retaining only the perceptual essence of the audio scene. The compact format would further enable a reduction in the complexity of subsequent compression and rendering. This paper investigates these hypotheses by exploring the use of a compact format that consists of up to four dynamic objects and nine HOA channels, with the Enhanced Voice Services (EVS) codec being applied to a 4-channel down-mix of the compact format.","2379-190X","978-1-4799-8131-1","10.1109/ICASSP.2019.8683712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8683712","Audio Coding;Virtual Reality;Spatial Audio;Immersive Audio;Ambisonics","Metadata;Decoding;Bit rate;Codecs;Encoding;3GPP;Virtual reality","3G mobile communication;audio coding;codecs;meta data;virtual reality","Enhanced Voice Services codec;3GPP EVS codec;Virtual Reality audio scenes;dynamic audio objects;Higher Order Ambisonics;audio scene;audio coding;audio channels;metadata-assisted","","","1","11","","16 Apr 2019","","","IEEE","IEEE Conferences"
"A 40 nm CMOS analog front end with enhanced audio for HSPA/EDGE multimedia applications","X. Jiang; M. G. Kim; F. Cheung; F. Lin; H. Zheng; J. Chen; A. Chen; D. Cheung; K. Abdelfattah; S. -H. Lee; H. Huang; K. Kasichainula; Y. Cong; J. Wu; C. -H. Lee; G. Chih; Y. Tu; T. L. Brooks; E. Jiang; H. Kong; C. Zhao; M. Keskin","Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA; Broadcom Corporation, Irvine, CA 92617 USA","2012 Proceedings of the ESSCIRC (ESSCIRC)","10 Nov 2012","2012","","","414","417","A 40 nm CMOS analog front end (AFE) supporting HSPA/EDGE multimedia and enhanced audio applications is reported. The AFE consists of hi-fi audio and high-performance peripheral and auxiliary subsystems. Circuit techniques that enable a 200 μA audio RX path and a Class-AB driver with -80 dB THD are discussed. Audio playback and capture paths achieve 105 dB and 85 dB SNR, respectively.","1930-8833","978-1-4673-2213-3","10.1109/ESSCIRC.2012.6341343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6341343","","Multimedia communication;Universal Serial Bus;CMOS integrated circuits;System-on-a-chip;Headphones;Baseband;Monitoring","3G mobile communication;audio signal processing;CMOS analogue integrated circuits;Hi-Fi equipment;multimedia communication","CMOS analog front end;enhanced audio;HSPA multimedia application;EDGE multimedia application;AFE;hi-fi audio;high-performance peripheral;auxiliary subsystems;circuit techniques;audio RX path;class-AB driver;audio playback;capture paths;size 40 nm;current 200 muA;noise figure 105 dB;noise figure 85 dB","","2","1","6","","10 Nov 2012","","","IEEE","IEEE Conferences"
"Enhanced Principal Component Using Polar Coordinate PCA for Stereo Audio Coding","S. Dong; R. Hu; W. Tu; X. Zheng; J. Jiang; S. Wang","Nat. Eng. Res. Center for Multimedia Software, Wuhan Univ., Wuhan, China; Nat. Eng. Res. Center for Multimedia Software, Wuhan Univ., Wuhan, China; Nat. Eng. Res. Center for Multimedia Software, Wuhan Univ., Wuhan, China; Nat. Eng. Res. Center for Multimedia Software, Wuhan Univ., Wuhan, China; Nat. Eng. Res. Center for Multimedia Software, Wuhan Univ., Wuhan, China; Nat. Eng. Res. Center for Multimedia Software, Wuhan Univ., Wuhan, China","2012 IEEE International Conference on Multimedia and Expo","13 Sep 2012","2012","","","628","633","High efficiency audio compression is the basic technology in audio involved multimedia application. Down mixing and parametric coding are efficient coding scheme with widely applications in some up to date audio codecs such as PS in EAAC+ and MPEG-Surround, and PCA stereo coding followed this idea to map two channels to one channel with maximum energy and parameterize the secondary channel. This paper investigates the conventional PCA method performance under general stereo model with multiple sound sources and different directions, and then proposes a Polar Coordinate based PCA (PC-PCA) stereo coding method. It has been proved that when multiple sound sources exist with different directions, proposed method is better than the conventional PCA method in certain conditions. A stereo codec based on PC-PCA has also been proposed to validate the performance improvement of proposed method.","1945-788X","978-1-4673-1659-0","10.1109/ICME.2012.22","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6298472","PCA;Stereo audio;Audio compression","Encoding;Principal component analysis;Signal to noise ratio;Codecs;Decoding;Bit rate","audio coding;data compression;principal component analysis","enhanced principal component analysis;polar coordinate PCA method;stereo audio coding;high efficiency audio compression;parametric coding;down mixing coding;audio codecs;MPEG-surround;EAAC+;PCA stereo coding;general stereo model;multiple sound sources;PC-PCA stereo coding method","","3","","7","","13 Sep 2012","","","IEEE","IEEE Conferences"
"Evaluation of Spatial/3D Audio: Basic Audio Quality Versus Quality of Experience","M. Schoeffler; A. Silzle; J. Herre","International Audio Laboratories Erlangen (a joint institution of Friedrich-Alexander University of Erlangen-Nürnberg and Fraunhofer IIS), Erlangen, Germany; International Audio Laboratories Erlangen (a joint institution of Friedrich-Alexander University of Erlangen-Nürnberg and Fraunhofer IIS), Erlangen, Germany; International Audio Laboratories Erlangen (a joint institution of Friedrich-Alexander University of Erlangen-Nürnberg and Fraunhofer IIS), Erlangen, Germany","IEEE Journal of Selected Topics in Signal Processing","13 Feb 2017","2017","11","1","75","88","During the past decades, spatial reproduction of audio signals has evolved from simple two-channel stereo to surround sound (e.g., 5.1 or 7.1) and, more recently, to three-dimensional (3D) sound including height speakers, such as 9.1 or 22.2. With increasing number of speakers, increasing spatial fidelity and listener envelopment are expected. This paper reviews popular methods for subjective assessment of audio. Moreover, it provides an experimental evaluation of the subjective quality provided by these formats, contrasting the well-known basic audio quality (BAQ) type of evaluation with the more recent evaluation of overall listening experience (OLE). Commonalities and differences in findings between both assessment approaches are discussed. The results of the evaluation indicate that 3D audio enhances BAQ as well as OLE over both stereo and surround sound. Furthermore, the BAQ- and OLE-based assessments turned out to deliver consistent and reliable results.","1941-0484","","10.1109/JSTSP.2016.2639325","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7782315","Subjective assessment;3D audio;basic audio quality;overall listening experience","Three-dimensional displays;Loudspeakers;Quality assessment;Reliability;Taxonomy;Speech;Quality of service","audio signal processing","3D audio;basic audio quality;quality of experience;audio signals;two-channel stereo;three-dimensional sound;BAQ;OLE;overall listening experience","","8","","71","","13 Dec 2016","","","IEEE","IEEE Journals"
"Enhancing Audio and Video Steganography Technique Using Hybrid Algorithm","S. Teotia; P. Srivastava","Dept. of Computer Science & Engineering, Amity University, Noida, India; Dept. of Computer Science & Engineering, Amity University, Noida, India","2018 International Conference on Communication and Signal Processing (ICCSP)","8 Nov 2018","2018","","","1059","1063","As the technology is developing, people have tend to find out methods which are not only capable in hiding a information but also capable of even hiding the existence of a message or information. Steganography was introduced as a result of such different research works, but despite of so many researches still we have problems of minimizing the error and obtaining better PSNR values. Audio Steganography is a technique or technology which is used to transfer secret information or message by changing an audio signal into an imperceptible way. It's the ability of thrashing confidential message or audio data in a host or another message, Video Steganography refers to hiding a confidential data or message, it can be a text message or an image inside a larger or another one in a style that by only looking or seeing at it an unknown person cannot notice the existence of hidden message. Our paper presents a hybrid algorithm which reduces the error in audio and video steganography and gives better values of PSNR and MSE.","","978-1-5386-3521-6","10.1109/ICCSP.2018.8524182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8524182","Steganography;Stego message;Audio;Video","Image coding;Encoding;Encryption;Reliability;Data models","audio signal processing;steganography;video signal processing","audio data;video steganography;hybrid algorithm;audio signal;audio steganography;PSNR values;confidential message thrashing;confidential data hiding;MSE","","","","15","","8 Nov 2018","","","IEEE","IEEE Conferences"
