"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Practical Privacy-Preserving Data Science With Homomorphic Encryption: An Overview","M. Iezzi","Bank of Italy,ICT Department,Rome,Italy","2020 IEEE International Conference on Big Data (Big Data)","19 Mar 2021","2020","","","3979","3988","Privacy has gained a growing interest nowadays due to the increasing and unmanageable amount of produced confidential data. Concerns about the possibility of sharing data with third parties to gain fruitful insights beset enterprise environments; value not only resides in data, but also in the intellectual property of algorithms and models that offer analysis results. This impasse locks both the availability of highperformance computing resources in the ""as-a-service"" paradigm and the exchange of knowledge with the scientific community in a collaborative view. Privacy-preserving data science enables the use of private data and algorithms without putting their privacy at risk. Conventional encryption schemes are not able to work on encrypted data without decrypting them first. Homomorphic Encryption (HE) is a form of encryption that allows the computation on encrypted data while preserving the features and the format of the plaintext. Against the background of interesting use cases for the Central Bank of Italy, this article focuses on how HE and data science can be leveraged to design and develop privacy-preserving enterprise applications. We propose a survey of main Homomorphic Encryption techniques and recent advances in the conubium between data science and HE.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9377989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377989","Privacy;encryption;data science;machine learning","Privacy;Data privacy;Statistical analysis;Collaboration;Data science;Big Data;Encryption","business communication;cryptography;data privacy","homomorphic encryption techniques;practical privacy-preserving data science;confidential data;enterprise environments;high-performance computing resources;private data;conventional encryption schemes;encrypted data;privacy-preserving enterprise applications;Central Bank of Italy","","","","63","","19 Mar 2021","","","IEEE","IEEE Conferences"
"Reversible Data Hiding in Encrypted Color Images Based on Vacating Room After Encryption and Pixel Prediction","I. C. Dragoi; D. Coltuc","Faculty of Electrical Engineering, Electronics and Information Technology, Valahia University of Targoviste, Romania; Faculty of Electrical Engineering, Electronics and Information Technology, Valahia University of Targoviste, Romania","2018 25th IEEE International Conference on Image Processing (ICIP)","6 Sep 2018","2018","","","1673","1677","This paper proposes a new vacating room after encryption reversible data hiding scheme developed for color images. The proposed scheme uses standard exclusive-or encryption and inherits the main features of vacating room after encryption schemes, namely joint and separate methods for data embedding. The proposed scheme exploits both the correlation between neighboring pixels and the correlation between color channels by predicting the original pixel values on color channel differences. The experimental results show that the proposed scheme can eliminate the main drawback of the vacating room after encryption framework, namely the large embedding distortions.","2381-8549","978-1-4799-7061-2","10.1109/ICIP.2018.8451168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8451168","reversible data hiding;encrypted color images;vacating room after encryption;pixel prediction","Encryption;Error analysis;Image color analysis;Color;Correlation;Data mining","cryptography;data encapsulation;image coding;image colour analysis","data embedding;color channel differences;embedding distortions;encryption reversible data;pixel prediction;vacating room;encrypted color images;reversible data hiding","","","","11","","6 Sep 2018","","","IEEE","IEEE Conferences"
"Routing and Data Security Scheme Based on Double Encryption in Mobile Ad Hoc Networks","X. Wu; X. Zhu; F. Kong","Coll. of Comput. & Inf., Hohai Univ., Nanjing, China; Coll. of Comput. & Inf., Hohai Univ., Nanjing, China; Coll. of Comput. & Inf., Hohai Univ., Nanjing, China","2015 Fifth International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC)","15 Feb 2016","2015","","","1787","1791","Considering the results from routing attack, this paper proposes a routing and data security scheme based on double encryption in Mobile Ad Hoc Networks. After building the route, the end-to-end routing test and verification ensures the validity of the route with asymmetric encryption and data encryption ensures the safety of data on this route with symmetric encryption. Additional, the symmetric encryption key is encapsulated in routing test and verify packet and then is asymmetrically encrypted together to be sent to destination node. The simulation results show that the scheme has a better performance in complexity and system overhead. And it can protect routing and data security at the same time.","","978-1-4673-7723-2","10.1109/IMCCC.2015.380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7406161","Mobile Ad Hoc Networks;routing security;data security;asymmetric encryption;symmetric encryption","Routing;Encryption;Ad hoc networks;Routing protocols;Mobile computing","cryptography;data encapsulation;mobile ad hoc networks;telecommunication network routing","data security scheme;routing scheme;routing attack;double encryption;mobile ad hoc network;end-to-end routing test;end-to-end routing verification;asymmetric encryption;data encryption;data safety;symmetric encryption key encapsulation;destination node;system overhead;system complexity;asymmetrical encryption","","1","","17","","15 Feb 2016","","","IEEE","IEEE Conferences"
"Security of data communications between embedded arduino systems with substitution encryption","Julham; F. Fachrizal; H. A. Adam; Y. Fatmi; A. R. Lubis","Computer and Information Engineering, Politeknik Negeri Medan, Medan, Indonesia; Computer and Information Engineering, Politeknik Negeri Medan, Medan, Indonesia; Computer and Information Engineering, Politeknik Negeri Medan, Medan, Indonesia; Computer and Information Engineering, Politeknik Negeri Medan, Medan, Indonesia; Computer and Information Engineering, Politeknik Negeri Medan, Medan, Indonesia","2017 Second International Conference on Informatics and Computing (ICIC)","5 Feb 2018","2017","","","1","5","Arduino has the main component of AVR type microcontroller. In microcontroller there are microprocessor, memory and input/output devices that are integrated with each other. So to execute it required a series of programs. While the ability Arduino now can communicate with each other through serial communication. On the other side the need for communicating security is required. But the computing capabilities and storage space of the program is limited, so becomes a consideration to use a suitable encryption technique. The Arduino type used was Arduino Uno and the encryption technique was substitution. The substitution encryption technique was applied for data communication security between Arduino Uno worked well. This was evidenced by the results obtained from experiments using the Proteus software simulation. It used two Arduino Uno devices with one way asynchronous serial communication as the connections. While the software to created substitution encryption and uploaded it to each Arduino Uno be using AVR Basic Compiler software. The selection of substitution encryption keys were generated randomly so not understood. The encryption and decryption key form must be the same. So the data sent is same contents with the data received and cipher text appear among them.","","978-1-5386-2985-7","10.1109/IAC.2017.8280578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8280578","data;microcontroller;substitution;encryption;decryption","Encryption;Ciphers;Software;Testing;Pins;Home automation;Liquid crystal displays","cryptography;data communication;microcontrollers;programming","input-output devices;asynchronous serial communication;decryption key form;substitution encryption keys;AVR Basic Compiler software;Arduino Uno devices;data communication security;substitution encryption technique;suitable encryption technique;memory;AVR type microcontroller;embedded Arduino systems","","2","","8","","5 Feb 2018","","","IEEE","IEEE Conferences"
"Privacy Preserving Deep Computation Model on Cloud for Big Data Feature Learning","Q. Zhang; L. T. Yang; Z. Chen","School of Software Technology, Dalian University of Technology, Dalian, Liaoning, China; Department of Computer Science, St. Francis Xavier University, Antigonish, NS, Canada; School of Software Technology, Dalian University of Technology, Dalian, Liaoning, China","IEEE Transactions on Computers","5 Apr 2016","2016","65","5","1351","1362","To improve the efficiency of big data feature learning, the paper proposes a privacy preserving deep computation model by offloading the expensive operations to the cloud. Privacy concerns become evident because there are a large number of private data by various applications in the smart city, such as sensitive data of governments or proprietary information of enterprises. To protect the private data, the proposed model uses the BGV encryption scheme to encrypt the private data and employs cloud servers to perform the high-order back-propagation algorithm on the encrypted data efficiently for deep computation model training. Furthermore, the proposed scheme approximates the Sigmoid function as a polynomial function to support the secure computation of the activation function with the BGV encryption. In our scheme, only the encryption operations and the decryption operations are performed by the client while all the computation tasks are performed on the cloud. Experimental results show that our scheme is improved by approximately 2.5 times in the training efficiency compared to the conventional deep computation model without disclosing the private data using the cloud computing including ten nodes. More importantly, our scheme is highly scalable by employing more cloud servers, which is particularly suitable for big data.","1557-9956","","10.1109/TC.2015.2470255","Liaoning Provincial Natural Science Foundation of China(grant numbers:201202032); National Natural Science Foundation of China(grant numbers:U1301253); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7210184","Smart city;Big data;Deep computation model;Cloud computing;BGV encryption;BGN encryption;High-order back-propagation;Smart city;big data;deep computation model;cloud computing;BGV encryption;BGN encryption;high-order back-propagation","Encryption;Computational modeling;Data models;Big data;Training;Data privacy","backpropagation;Big Data;cloud computing;cryptography;data privacy;learning (artificial intelligence);polynomial approximation;smart cities","privacy preserving deep computation model;Big Data feature learning;smart city;Sigmoid function;polynomial function;private data protection;BGV encryption scheme;private data encryption;cloud servers;high-order back-propagation algorithm;deep computation model training;encryption operations;decryption operations;cloud computing","","134","2","56","","19 Aug 2015","","","IEEE","IEEE Journals"
"Privacy-Preserving Techniques for Big Data Analysis in Cloud","H. Shekhawat; S. Sharma; R. Koli","Chandigarh University, Mohali, Punjab; Chandigarh University, Mohali, Punjab; Dev Bhoomi group of institution, Dehradun, Uttrakhand","2019 Second International Conference on Advanced Computational and Communication Paradigms (ICACCP)","28 Oct 2019","2019","","","1","6","Big Data is termed as the enormous collection of large datasets that cannot be processed by using the traditional computational technique. Big data consists of different formats like structured data and unstructured data; it is not efficient in terms of response time to perform analysis of big data using existing traditional RDBMS techniques. The Big data possess many challenges because of several properties like variety, value, variability, volume, visualization, velocity and veracity. Big data is not allowed to store on one machine due to its collection of enormous datasets so it requires a new distributed platform to analyze and store such huge amount of datasets for future prediction and decision making. Hadoop provides the framework for distributed data processing to analyze and store this large amount of data using commodity hardware. Cloud computing can process the distributed queries across multiple datasets with the use of Hadoop. Big data is stored in the cloud computing environment for processing and analyzing the enormous datasets. Because of this paradigm, many new challenges for securing user's sensitive data, privacy-preserving mechanisms are used in untrusted cloud servers. Privacy-preserving mechanism cryptographically enforced the security to the private data. In this paper, to provide data confidentiality and integrity, three techniques Homomorphic encryption, order-preserving encryption schemes and Attribute-based encryption are described. These techniques can preferably use in the cloud to provide data privacy and also preferred for big data to maintain the efficiency and scalability of large datasets for decision making.","","978-1-5386-7989-0","10.1109/ICACCP.2019.8882922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882922","MapReduce;Big data;HDFS (Hadoop distributed file system);Cloud computing;Hadoop;Homomorphic encryption (HE) scheme;order-preserving encryption (OPEs);Attribute-based Encryption (ABE)","Encryption;Big Data;Cloud computing;Data privacy;Access control;Servers","Big Data;cloud computing;cryptography;data analysis;data handling;data integrity;data privacy;decision making;query processing;relational databases","data privacy;big data analysis;distributed data processing;privacy-preserving techniques;RDBMS techniques;decision making;Hadoop;cloud computing environment;untrusted cloud servers;homomorphic encryption;order-preserving encryption schemes;attribute-based encryption","","1","","24","","28 Oct 2019","","","IEEE","IEEE Conferences"
"Physical-layer data encryption using chaotic constellation rotation in OFDM-PON","A. Sultan; X. Yang; S. B. Hussain; W. Hu","Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China","2018 15th International Bhurban Conference on Applied Sciences and Technology (IBCAST)","12 Mar 2018","2018","","","446","448","Physical-layer data encryption schemes are required to enhance the data security during transmission in passive optical networks (PONs). Encryption schemes using digital chaos provide a huge key space which results in high-level security for the user data. Here, a novel physical-layer encryption scheme using chaotic radial constellation rotation is proposed and experimentally demonstrated for orthogonal frequency division multiplexing PON (OFDM-PON). A one-dimensional (1D) chaos is employed to generate the digital chaotic sequences for data encryption. The proposed encryption scheme offers less computational complexity due to the use of 1D chaos. The initial values are pre-shared between the optical line terminal (OLT) and optical network unit (ONU), which provide a key space of 10<sup>15</sup>. At the OLT, the original data is firstly encrypted by a chaotic XOR operation, and then further encrypted using the chaotic phase offsets. This multi-fold encryption generates an overall key space of 10<sup>30</sup>. The proposed encryption scheme is verified by experiments, where a 9.4-Gb/s encrypted 16 quadrature amplitude modulation (16-QAM) optical OFDM signal transmission is successfully carried over 20 km standard single-mode fiber (SSMF). The bit error rate (BER) of the received encrypted signal was calculated for a legitimate ONU as well as an illegal ONU. The encrypted OFDM signal is also compared with the original OFDM signal for performance analysis. The transmission performance is improved for the proposed encryption scheme due to the reason that the introduction of chaotic radial rotation reduces the effect of phase noise in the encrypted OFDM signals.","2151-1411","978-1-5386-3564-3","10.1109/IBCAST.2018.8312262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8312262","Digital Chaos;Data Encryption;Passive Optical Networks (PON);Orthogonal Frequency Division Multiplexing (OFDM);Bit Error Rate (BER)","Encryption;OFDM;Optical network units;Chaotic communication;Passive optical networks","chaos;cryptography;error statistics;OFDM modulation;optical modulation;passive optical networks;quadrature amplitude modulation","OFDM-PON;physical-layer data encryption schemes;data security;passive optical networks;user data;chaotic radial constellation rotation;orthogonal frequency division multiplexing PON;digital chaotic sequences;optical network unit;multifold encryption;received encrypted signal;chaotic radial rotation;encrypted OFDM signals;quadrature amplitude modulation optical OFDM signal transmission;physical-layer data encryption;one-dimensional chaos;1D chaos;16-QAM;optical line terminal;OLT;ONU;bit error rate;BER;transmission performance","","2","","13","","12 Mar 2018","","","IEEE","IEEE Conferences"
"Physical-Layer OFDM Data Encryption using Chaotic QAM Mapping","X. Yang; A. Sultan; A. Hajomer; L. Zhang; W. Hu","Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China; Shanghai Institute for Advanced Communication and Data Science, State Key Laboratory of Advanced Optical Communication Systems and Networks, Shanghai Jiao Tong University, Shanghai, 200240, China","2019 21st International Conference on Transparent Optical Networks (ICTON)","19 Sep 2019","2019","","","1","3","Dynamic QAM mapping schemes are proposed to encrypt the user data in physical-layer using hyper digital chaos for optical orthogonal frequency-division multiplexing (OFDM) transmission. Unlike the traditional physical-layer security schemes such as signal scrambling or permutation of OFDM symbols, the OFDM data is chaotically re-distributed onto any randomized locations on the constellation plane to enhance the security during OFDM data transmission. The proposed dynamic mappings are performed using constellation-shifting mapping, dimension-constrained mapping and circular QAM mapping. The secure mapping schemes are demonstrated and compared in terms of optical OFDM transmission and data security performances. High-level security is achieved with huge key space, due to the introduction of hyper digital chaos in multi-fold dynamic QAM mappings.","2161-2064","978-1-7281-2779-8","10.1109/ICTON.2019.8840402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8840402","digital chaos;data encryption;orthogonal frequency-division multiplexing (OFDM);QAM mapping","Quadrature amplitude modulation;OFDM;Encryption;Chaos;Optical network units","chaotic communication;cryptography;OFDM modulation;optical communication;optical modulation;quadrature amplitude modulation;telecommunication security","hyper digital chaos;optical orthogonal frequency-division multiplexing transmission;constellation plane;OFDM data transmission;dynamic mappings;constellation-shifting mapping;dimension-constrained mapping;circular QAM mapping;secure mapping schemes;data security performances;high-level security;multifold dynamic QAM mappings;physical-layer OFDM data;chaotic QAM;dynamic QAM mapping schemes;user data","","1","","5","","19 Sep 2019","","","IEEE","IEEE Conferences"
"Encryption-Based Solution for Data Sovereignty in Federated Clouds","C. Esposito; A. Castiglione; K. R. Choo","University of Napoli ""Federico II""; University of Salerno; University of South Australia","IEEE Cloud Computing","26 Feb 2016","2016","3","1","12","17","The rapidly growing demand for cloud services in the current business practice has favored the success of the hybrid clouds and the advent of cloud federation. The available literature of this topic has focused on middleware abstraction to interoperate heterogeneous cloud platforms and orchestrate different management and business models. However, cloud federation implies serious security and privacy issues with respect to data sovereignty when data is outsourced across different judicial and legal systems. This column describes a solution that applies encryption to protect data sovereignty in federated clouds rather than restricting the elasticity and migration of data across federated clouds.","2325-6095","","10.1109/MCC.2016.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7420528","cloud;cloud services;cloud federation;data encryption","Cloud computing;Business practices;Data processing;Encryption;Middleware;Data encryption","cloud computing;cryptography;data protection;middleware;outsourcing","encryption-based analysis;data sovereignty protection;federated clouds;business practice;hybrid clouds;middleware abstraction;heterogeneous cloud platform interoperability;management model;business model;security issue;privacy issue;data outsourcing;judicial system;legal system;data elasticity;data migration","","18","","15","","26 Feb 2016","","","IEEE","IEEE Magazines"
"Design and implementation of HDFS data encryption scheme using ARIA algorithm on Hadoop","Youngho Song; Young-Sung Shin; Miyoung Jang; Jae-Woo Chang","Dept. of Computer Engineering, Chonbuk National University, Republic of Korea; Dept. of Computer Engineering, Chonbuk National University, Republic of Korea; Dept. of Computer Engineering, Chonbuk National University, Republic of Korea; Dept. of Computer Engineering, Chonbuk National University, Republic of Korea","2017 IEEE International Conference on Big Data and Smart Computing (BigComp)","20 Mar 2017","2017","","","84","90","Hadoop is developed as a distributed data processing platform for analyzing big data. Enterprises can analyze big data containing users' sensitive information by using Hadoop and utilize them for their marketing. Therefore, researches on data encryption have been widely done to protect the leakage of sensitive data stored in Hadoop. However, the existing researches support only the AES international standard data encryption algorithm. Meanwhile, the Korean government selected ARIA algorithm as a standard data encryption scheme for domestic usages. In this paper, we propose a HDFS data encryption scheme which supports both ARIA and AES algorithms on Hadoop. First, the proposed scheme provides a HDFS block-splitting component that performs ARIA/AES encryption and decryption under the Hadoop distributed computing environment. Second, the proposed scheme provides a variable-length data processing component that can perform encryption and decryption by adding dummy data, in case when the last data block does not contains 128-bit data. Finally, we show from performance analysis that our proposed scheme is efficient for various applications, such as word counting, sorting, k-Means, and hierarchical clustering.","2375-9356","978-1-5090-3015-6","10.1109/BIGCOMP.2017.7881720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7881720","Hadoop Security;Data Encryption;HDFS Data Encryption;ARIA Encryption Algorithm;Hadoop Encryption Codec","Encryption;Algorithm design and analysis;Distributed databases;Standards;Codecs;Data processing","Big Data;cryptography","ARIA algorithm;distributed data processing platform;Big Data;AES international standard data encryption algorithm;Korean government;domestic usages;HDFS data encryption scheme;AES algorithms;HDFS block-splitting component;ARIA/AES encryption;Hadoop distributed computing;variable-length data processing;data block;word counting;sorting;k-Means;hierarchical clustering","","3","","16","","20 Mar 2017","","","IEEE","IEEE Conferences"
