"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Privacy-Preserving Multilayer In-Band Network Telemetry and Data Analytics: For Safety, Please do Not Report Plaintext Data","X. Pan; S. Tang; S. Liu; J. Kong; X. Zhang; D. Hu; J. Qi; Z. Zhu","School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; Zhongxing Telecommunication Equipment (ZTE) Corporation, Nanjing, China; Zhongxing Telecommunication Equipment (ZTE) Corporation, Nanjing, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China","Journal of Lightwave Technology","8 Oct 2020","2020","38","21","5855","5866","With the evolution of Internet infrastructure and network services, multilayer in-band network telemetry (ML-INT) and data analytics (DA) have been considered as key enabling techniques to realize real-time and fine-grained network monitoring, especially for backbone IP-over-Optical networks. However, the existing ML-INT&DA systems have privacy and security issues, because plaintext ML-INT data is reported from the data plane and gets analyzed in the control plane. In this work, we address these issues by designing a privacy-preserving ML-INT&DA system for IP-over-Optical networks. We first leverage vector homomorphic encryption (VHE) to design a lightweight encryption scheme, which overcomes the security breaches due to eavesdropping and preserves the delicate correlations buried in multi-dimensional ML-INT data. Then, we develop an effective data compression scheme to further encode the encrypted ML-INT data and make the results suitable for hash-based signature. The signature is for data certification and enables the DA in the control plane to verify the integrity of received ML-INT data. Hence, the threats from data tampering are removed. Next, we architect a deep learning (DL) model that can directly operate on encrypted ML-INT data for anomaly detection. Finally, we implement the proposed ML-INT&DA system, and experimentally demonstrate its effectiveness in a real IP over elastic optical network (IP-over-EON) testbed, whose key elements, i.e., optical line system (OLS), bandwidth-variable wavelength-selective switches (BV-WSS') and programmable data plane (PDP) switches, are all commercial products.","1558-2213","","10.1109/JLT.2020.3007491","National Natural Science Foundation of China(grant numbers:61871357,61771445,61701472); ZTE Research Fund(grant numbers:PA-HQ-20190925001J-1); Zhejiang Lab Research Fund(grant numbers:2019LE0AB01); Chinese Academy of Sciences Key Project(grant numbers:QYZDY-SSW-JSC003); Chinese Academy of Sciences(grant numbers:XDC02070300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9134881","Data analytics;deep learning (dl);in-band network telemetry (int);ip over elastic optical networks (ip-over-eons);multilayer networks;privacy-preserving network monitoring;soft failures;vector homomorphic encryption (vhe)","Telemetry;Optical switches;Monitoring;Optical fiber networks;Encryption","computer network security;cryptography;data analysis;data compression;data privacy;digital signatures;Internet;IP networks;optical fibre networks;optical switches;telemetry","plaintext ML-INT data;multidimensional ML-INT data;effective data compression scheme;data certification;bandwidth-variable wavelength-selective switches;data analytics;network services;fine-grained network monitoring;privacy-preserving multilayer in-band network telemetry;Internet infrastructure;backbone IP-over-optical networks;privacy-preserving ML-INT&DA system;vector homomorphic encryption;hash-based signature;deep learning mode;IP over elastic optical network;IP-over-EON;optical line system;OLS;BV-WSS;programmable data plane switches;PDP;IP","","1","","58","IEEE","7 Jul 2020","","","IEEE","IEEE Journals"
"Privacy-Preserving Multilayer In-Band Network Telemetry and Data Analytics","X. Pan; S. Tang; Z. Zhu","School of Information Science and Technology, University of Science and Technology of China,Hefei,China; School of Information Science and Technology, University of Science and Technology of China,Hefei,China; School of Information Science and Technology, University of Science and Technology of China,Hefei,China","2020 IEEE/CIC International Conference on Communications in China (ICCC)","9 Nov 2020","2020","","","142","147","As a new paradigm for the monitoring and troubleshooting of backbone networks, the multilayer in-band network telemetry (ML-INT) with deep learning (DL) based data analytics (DA) has recently been proven to be effective on realtime visualization and fine-grained monitoring. However, the existing studies on ML-INT&DA systems have overlooked the privacy and security issues, i.e., a malicious party can apply tapping in the data reporting channels between the data and control planes to illegally obtain plaintext ML-INT data in them. In this paper, we discuss a privacy-preserving DL-based ML-INT&DA system for realizing AI-assisted network automation in backbone networks in the form of IP-over-Optical. We first show a lightweight encryption scheme based on integer vector homomorphic encryption (IVHE), which is used to encrypt plaintext ML-INT data. Then, we architect a DL model for anomaly detection, which can directly analyze the ciphertext ML-INT data. Finally, we present the implementation and experimental demonstrations of the proposed system. The privacy-preserving DL-based ML-INT&DA system is realized in a real IP over elastic optical network (IP-over-EON) testbed, and the experimental results verify the feasibility and effectiveness of our proposal.","2377-8644","978-1-7281-7327-6","10.1109/ICCC49849.2020.9238883","NSFC(grant numbers:61871357,61771445,61701472); CAS Key Project(grant numbers:QYZDY-SSW-JSC003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238883","In-band network telemetry (INT);Deep learning (DL);Integer vector homomorphic encryption (IVHE);Privacy-preserving network monitoring;Soft failures","Data analysis;Nonhomogeneous media;Data models;Encryption;Telemetry;Proposals;Monitoring","cryptography;data privacy;IP networks;neural nets;optical fibre networks;telemetry","Privacy-Preserving Multilayer In-Band Network Telemetry;backbone networks;deep learning based data analytics;fine-grained monitoring;security issues;data reporting channels;control planes;plaintext ML-INT data;AI-assisted network automation;ciphertext ML-INT data;privacy-preserving DL-based ML-INT&DA system;IP over elastic optical network testbed;integer vector homomorphic encryption","","1","","45","","9 Nov 2020","","","IEEE","IEEE Conferences"
"Multilayer Network Monitoring and Data Analytics over Encrypted Telemetry Data","X. Pan; S. Tang; Z. Zhu","University of Science and Technology of China,School of Information Science and Technology,Hefei,China; University of Science and Technology of China,School of Information Science and Technology,Hefei,China; University of Science and Technology of China,School of Information Science and Technology,Hefei,China","2020 IEEE 20th International Conference on Communication Technology (ICCT)","24 Dec 2020","2020","","","1577","1581","Multilayer in-band network telemetry (ML-INT) and data analytics (DA) is the key techniques for monitoring and troubleshooting backbone networks, since they obtain real-time and fine-grained telemetry data about the optical and IP layers and facilitate artificial intelligence (AI) assisted network automation. Despite their success, there are still privacy and security issues to address for realizing a practical ML-INT&DA system. This is because a malicious party can obtain plaintext telemetry data illegally by tapping the data reporting channels between the control and data planes, derive sensitive information about the network, and launch various attacks accordingly. In this paper, we propose to realize multilayer network monitoring and data analytics over encrypted telemetry data and demonstrate a privacy-preserving ML-INT&DA system to address the aforementioned issues. More specifically, we first utilize the vector homomorphic encryption (VHE) to encrypt ML-INT data, i.e., the threats from data tapping can removed, and then architect a deep learning (DL) model for anomaly detection, which can directly operate on the encrypted data. We implement and experimentally demonstrate the feasibility of the proposed system in a real IP over elastic optical network (IP-over-EON) testbed, and the results confirm the effectiveness of our proposal.","2576-7828","978-1-7281-8141-7","10.1109/ICCT50939.2020.9295879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9295879","In-band network telemetry (INT);Deep learning (DL);Vector homomorphic encryption (VHE)","Optical switches;Encryption;Signal to noise ratio;Optical noise;Monitoring;Telemetry;Cryptography","computer network security;cryptography;data analysis;data privacy;deep learning (artificial intelligence);IP networks;optical fibre networks;optical fibre telemetry;telecommunication computing","encrypted telemetry data;data analytics;fine-grained telemetry data;artificial intelligence assisted network automation;plaintext telemetry data;multilayer network monitoring;multilayer in-band network telemetry;backbone networks;optical layers;IP layers;AI assisted network automation;ML-INT&DA system;privacy-preserving ML-INT&DA system;vector homomorphic encryption;VHE;deep learning model;anomaly detection;IP over elastic optical network;IP-over-EON","","","","42","","24 Dec 2020","","","IEEE","IEEE Conferences"
"Data Leakage Prevention for Data in Transit using Artificial Intelligence and Encryption Techniques","M. Ghouse; M. J. Nene; V. C.","DM, Network and Cyber Security, Bharat Electronics Limited,Bangalore,India; Defense Institute of Advanced Technology,Dept. of Computer Science and Engineering,Pune,India; MRS, Cyber Security Central Research Laboratory, BEL,Bangalore,India","2019 International Conference on Advances in Computing, Communication and Control (ICAC3)","16 Mar 2020","2019","","","1","6","Data leakage in an organization is a very important concern that leads to the ex-filtration of data, The work in this paper addresses a novel concept for prevention of data leakage for data in transit. The text under consideration is classified to confidential or non-confidential category based on the content and context using Machine Learning technique. Subsequent action for encryption is performed on the confidential data and then transmitted from the Intranet domain to Internet domain ensuring that the data is not compromised to unauthorized users. In addition, normal transactional data which is nonconfidential in nature is not prevented from transmitting and is easily accessible by a third party. Encryption is applied only to selected data and not the entire data in transit, ensuring that the hardware resources are efficiently utilized. An adversary can simply compose an e-mail with the organization's confidential information as the body of the mail, in such scenarios our method will classify the e-mail content and will encrypt the data so that the data is not revealed to an outsider.","","978-1-7281-2386-8","10.1109/ICAC347590.2019.9036839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9036839","Text Classification;Data Leakage Prevention (DLP);Encryption;Gateway;Intranet;Internet;Decryption;Artificial Intelligence (AI);Machine Learning (ML);Trusted Platform Module (TPM)","","cryptography;data protection;electronic mail;Internet;intranets;learning (artificial intelligence)","data leakage prevention;encryption;nonconfidential category;confidential data;normal transactional data;confidential information;ex-filtration;artificial intelligence;machine learning technique;Intranet domain;Internet domain","","4","","18","","16 Mar 2020","","","IEEE","IEEE Conferences"
"Privacy-Preserving Scoring of Tree Ensembles: A Novel Framework for AI in Healthcare","K. Fritchman; K. Saminathan; R. Dowsley; T. Hughes; M. De Cock; A. Nascimento; A. Teredesai","Institute of Technology, University of Washington, Tacoma, Washington, USA; Institute of Technology, University of Washington, Tacoma, Washington, USA; Dept. of Computer Science, Aarhus University, Aarhus, Denmark; KenSci, Seattle, Washington, USA; Institute of Technology, University of Washington, Tacoma, Washington, USA; Institute of Technology, University of Washington, Tacoma, Washington, USA; Institute of Technology, University of Washington, Tacoma, Washington, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","2413","2422","Machine Learning (ML) techniques now impact a wide variety of domains. Highly regulated industries such as healthcare and finance have stringent compliance and data governance policies around data sharing. Advances in secure multiparty computation (SMC) for privacy-preserving machine learning (PPML) can help transform these regulated industries by allowing ML computations over encrypted data with personally identifiable information (PII). Yet very little of SMC-based PPML has been put into practice so far. In this paper we present the very first framework for privacy-preserving classification of tree ensembles with application in healthcare. We first describe the underlying cryptographic protocols that enable a healthcare organization to send encrypted data securely to a ML scoring service and obtain encrypted class labels without the scoring service actually seeing that input in the clear. We then describe the deployment challenges we solved to integrate these protocols in a cloud based scalable risk-prediction platform with multiple ML models for healthcare AI. Included are system internals, and evaluations of our deployment for supporting physicians to drive better clinical outcomes in an accurate, scalable, and provably secure manner. To the best of our knowledge, this is the first such applied framework with SMC-based privacy-preserving machine learning for healthcare.","","978-1-5386-5035-6","10.1109/BigData.2018.8622627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622627","privacy-preserving machine learning;secure multiparty computation;encryption;healthcare;random forest;boosted decision trees","Protocols;Medical services;Cryptography;Machine learning;Data privacy;Privacy;Decision trees","cloud computing;cryptographic protocols;data privacy;health care;learning (artificial intelligence);medical computing;pattern classification","privacy-preserving scoring;tree ensembles;data governance policies;data sharing;secure multiparty computation;encrypted data;personally identifiable information;SMC-based PPML;privacy-preserving classification;healthcare organization;ML scoring service;multiple ML models;healthcare AI;SMC-based privacy-preserving machine;ML techniques;cryptographic protocols;cloud based scalable risk-prediction platform;SMC-based privacy-preserving machine learning","","3","","39","","24 Jan 2019","","","IEEE","IEEE Conferences"
"The Multi Layer Auto Encoder Neural Network (ML-AENN) for Encryption and Decryption of Text Message","A. F. O. Gaffar; A. B. W. Putra; R. Malani","Politeknik Negeri Samarinda,Department of Information Technology,East Kalimantan,Indonesia; Politeknik Negeri Samarinda,Department of Information Technology,East Kalimantan,Indonesia; Politeknik Negeri Samarinda,Department of Information Technology,East Kalimantan,Indonesia","2019 5th International Conference on Science in Information Technology (ICSITech)","10 Feb 2020","2019","","","128","133","Efficient key generation techniques require highly secure cryptosystems. The traditional key generation technique is very systematic that it is easy to attack. The Deep Learning algorithm is one of the research paths into the automated extraction of complex data representations (features) at a high level of abstraction. Auto Encoder Neural Network (AENN), one of the deep learning's architectures, play an essential role in unsupervised learning in deep architecture for learning transfer and other tasks. The AENN are simple learning networks that aim to convert inputs into outputs with the least amount of distortion. This study proposes the Deep Learning approach for text message encryption and decryption by using the Multi-Layer AENN where the outputs of each of the deepest layer as the secret-key generator and hash value generator. The result of this research showed that the proposed method has a high degree of confidentiality because each training always produces a different secret key. Furthermore, the tampered data/information can be seen from the presence of different hash values that occur.","","978-1-7281-2380-6","10.1109/ICSITech46713.2019.8987462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8987462","encryption;decryption;secret key;AENN;confidentiality","","encoding;neural nets;private key cryptography;text analysis;unsupervised learning","automated extraction;complex data representations;unsupervised learning;text message encryption;secret-key generator;value generator;ML-AENN;key generation techniques;highly secure cryptosystems;deep learning algorithm;research paths;multilayer auto encoder neural network;text message decryption;multilayer AENN","","1","","17","","10 Feb 2020","","","IEEE","IEEE Conferences"
"A Comparative Analysis of Machine Learning Models developed from Homomorphic Encryption based RSA and Paillier algorithm","H. J. Kiratsata; M. Panchal","GTU-Graduate School of Engineering and Technology,Cyber security department,Ahmedabad,India; GTU-Graduate School of Engineering and Technology,Cyber security department,Ahmedabad,India","2021 5th International Conference on Intelligent Computing and Control Systems (ICICCS)","26 May 2021","2021","","","1458","1465","Nowadays, the use of Auto ML for development of machine learning (ML) models is increasing day by day. In which users need to upload their dataset to develop machine learning models. Where security of user's data is a very big problem. Which can be solved using Homomorphic encryption. In this work, first the spiderman correlation of the machine learning models developed using encrypted dataset is compared with each other. In which the algorithms used to encrypt dataset are Homomorphic Encryption (HE) based Rivest Shamir Adleman (RSA) and Paillier algorithm. Where the homomorphic encryption based Rivest Shamir Adleman (RSA) is a multiplicative operation and the HE-based Pailler supports additive operations. These algorithms are used to encrypt data and store it on cloud servers. An in-house key generator is developed to generate keys for HE-based RSA algorithm and used this algorithm to encrypt data. Then a comparison between the time taken by these algorithms to encrypt the data and develop the machine learning model using Azure auto Machine Learning is done where the HE-based RSA algorithm is winner.","","978-1-6654-1272-8","10.1109/ICICCS51141.2021.9432348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9432348","Partially Homomorphic Encryption;Machine Learning;RSA;Paillier;Ensemble method;Data Privacy;Cryptography;Homomorphic Encryption","Analytical models;Machine learning algorithms;Correlation;Computational modeling;Machine learning;Control systems;Data models","cryptography;learning (artificial intelligence)","machine learning models;homomorphic encryption;HE-based RSA algorithm;Azure automachine learning;Paillier algorithm;spiderman correlation;Rivest Shamir Adleman algorithm;in-house key generator;additive operations;multiplicative operation","","","","27","","26 May 2021","","","IEEE","IEEE Conferences"
"On Fully Homomorphic Encryption for Privacy-Preserving Deep Learning","N. J. Hernandez Marcano; M. Moller; S. Hansen; R. H. Jacobsen",Aarhus University; Aarhus University; Aarhus University; Aarhus University,"2019 IEEE Globecom Workshops (GC Wkshps)","5 Mar 2020","2019","","","1","6","Given the rise of Machine Learning (ML) applications using sensitive private data, we present an implementation of Fully Homomorphic Encryption (FHE) with Convolutional Neural Networks (CNNs) for privacy-preserving Deep Learning (DL). This permits to utilize DL image recognition algorithms without compromising personal data of served customers, e.g medical images. The combination of FHE and CNN is accomplished by using logic circuits, which enable to conduct deep learning algorithms on ciphertext instead of plaintext. We provide a set of practical measurements from an implementation on the number of logic circuit operations required to carry out privacy-preserving ML. The results are function of the numerical representation and security parameters. Our results indicate that the protection of customer data is a trade-off between the required level of security, prediction capability and computational complexity. Thus, we reach full correct classification with 6 bits in the fractional part, and evaluate the time costs associated with our circuits as a function of its security parameters.","","978-1-7281-0960-2","10.1109/GCWkshps45667.2019.9024625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024625","","Encryption;Machine learning;Logic circuits;Logic gates;Feature extraction","computational complexity;convolutional neural nets;cryptography;data protection;image classification;learning (artificial intelligence);logic circuits","CNN;security parameters;computational complexity;convolutional neural networks;personal data;DL image recognition algorithms;sensitive private data;privacy-preserving deep learning;fully homomorphic encryption;customer data protection;privacy-preserving ML;logic circuit operations;deep learning algorithms;logic circuits;FHE;word length 6.0 bit","","1","","17","","5 Mar 2020","","","IEEE","IEEE Conferences"
"sec-cs: Getting the Most out of Untrusted Cloud Storage","D. Leibenger; C. Sorge","CISPA, Saarland Univ., Saarbrucken, Germany; CISPA, Saarland Univ., Saarbrucken, Germany","2017 IEEE 42nd Conference on Local Computer Networks (LCN)","16 Nov 2017","2017","","","623","631","We present sec-cs, a hash-table-like data structure for contents on untrusted storage that is provably secure and storage-efficient. We achieve authenticity and confidentiality with zero storage overhead using deterministic authenticated encryption. State-of-the-art data deduplication approaches prevent redundant storage of shared parts of different contents irrespective of whether relationships between contents are known a priori. Instead of just adapting existing approaches, we introduce novel (multi-level) chunking strategies, ML-SC and ML-CDC, which are significantly more storage-efficient than existing approaches in presence of high redundancy. We prove sec-cs's security, publish an implementation, and present evaluation results indicating suitability for, e.g., future backup systems that should preserve many versions of files on little available storage.","0742-1303","978-1-5090-6523-3","10.1109/LCN.2017.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109424","Cloud Storage;Security;Data Deduplication;Data Structures;Storage Efficiency","Cloud computing;Vegetation;Redundancy;Data structures;Cryptography;Metadata","cloud computing;cryptography;data structures;storage management;trusted computing","sec-cs;untrusted cloud storage;hash-table-like data structure;untrusted storage;authenticity;confidentiality;deterministic authenticated encryption;ML-CDC;data deduplication;storage redundancy;multilevel chunking strategies;ML-SC","","2","","45","","16 Nov 2017","","","IEEE","IEEE Conferences"
"Secure and Efficient <italic>k</italic> NN Classification for Industrial Internet of Things","H. Yang; S. Liang; J. Ni; H. Li; X. S. Shen","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; Department of Electrical and Computer Engineering, Queen’s University, Kingston, Canada; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada","IEEE Internet of Things Journal","12 Nov 2020","2020","7","11","10945","10954","The k-nearest neighbors (kNN) classification has been widely used for defective product identification and anomaly detection in the Industrial Internet of Things (IIoT). In this article, we propose a secure and efficient distributed kNN classification algorithm (SEED-kNN) to prevent information and control flow exposure while supporting large-scale data classification on distributed servers. Specifically, we first design a secure and efficient vector homomorphic encryption (VHE) scheme by constructing a key-switching matrix and a noise matrix for data encryption. Based on the designed VHE, SEEDkNN is proposed to efficiently achieve the confidentiality of data flow, kNN query, and class label, while enabling homomorphic operations on the encrypted data. Moreover, by leveraging the Map/Reduce architecture, SEED-kNN enables the kNN classification over the large-scale encrypted data on distributed servers for industrial control systems. Finally, we demonstrate that SEEDkNN achieves semantic security and high classification accuracy, and is applicable in IIoT due to its high efficiency.","2327-4662","","10.1109/JIOT.2020.2992349","National Key Research and Development Program of China(grant numbers:2017YFB0802300,2017YFB0802000,2017YFB0802003); National Natural Science Foundation of China(grant numbers:U1633114); Sichuan Science and Technology Program(grant numbers:2018GZ0202); State Key Laboratory of Cryptography(grant numbers:MMKFKT201912); Research Grant of the Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086811","Big data;Industrial Internet of Things (IIoT);intelligent systems;machine learning (ML);security and privacy","Servers;Industrial control;Cryptography;Cloud computing;Distributed databases","cryptography;data handling;data privacy;industrial control;Internet of Things;parallel processing;pattern classification;production engineering computing;query processing","data flow;kNN query;SEED-kNN;large-scale encrypted data;distributed servers;industrial control systems;semantic security;IIoT;k-nearest neighbors classification;anomaly detection;large-scale data classification;data encryption;VHE;vector homomorphic encryption;class label;efficiency K-NN classification;secure K-NN classification;MapReduce architecture","","2","","38","IEEE","5 May 2020","","","IEEE","IEEE Journals"
