"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Comprehensive Study of Big Data Machine Learning Approaches and Challenges","N. Singh; D. P. Singh; B. Pant","Dept. of CSE, Graphic Era Univ., Dehradun, India; Dept. of CSE, Graphic Era Univ., Dehradun, India; Dept. of CSE, Graphic Era Univ., Dehradun, India","2017 International Conference on Next Generation Computing and Information Systems (ICNGCIS)","4 Nov 2018","2017","","","80","85","Big data is spreading its span in almost every walk of science and engineering. Both public and private sector enterprises have been collecting and deploying enormous amount of domain-specific information to gain insights about areas like security, marketing, forecasting, fraud-detection, strategic planning etc.. This big data potential is unquestionably noteworthy; but to explore it fully and sensibly it requires new ideas and original learning techniques to address challenges associated with it. With the universe being getting more knowledge-based and computerized, an enormous range of applications shows interest in machine learning (ML) techniques. Machine learning is one of the most sought after field to handle big data challenge. With this paper we endow with a literature analysis related to the up-to-the-minute progress in researches on big data processing deploying Machine Learning as an analytical tool. We will review machine learning techniques with a focus on the promising learning methods like transfer learning, active learning, deep learning, representation learning, distributed, kernel-based learning and parallel learning. Also we will be reviewing the challenges in big data machine learning.","","978-1-5386-4205-4","10.1109/ICNGCIS.2017.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8520316","Big data;Machine learning;deep learning;active learning;distributed learning","Big Data;Machine learning algorithms;Kernel;Distributed databases;Task analysis","Big Data;learning (artificial intelligence)","transfer learning;active learning;deep learning;representation learning;big data machine learning approaches;domain-specific information;machine learning techniques;big data processing;kernel-based learning;parallel learning","","","","53","","4 Nov 2018","","","IEEE","IEEE Conferences"
"Fraudulent Transaction Detection in FinTech using Machine Learning Algorithms","K. AbdulSattar; M. Hammad","University of Bahrain,College of Information Technology,Sakhir,Bahrain; University of Bahrain,College of Information Technology,Sakhir,Bahrain","2020 International Conference on Innovation and Intelligence for Informatics, Computing and Technologies (3ICT)","8 Jan 2021","2020","","","1","6","With the advancement of e-commerce, online transactions purchases using credit and debit cards have drastically increased. This has caused a burst in credit and debit card fraud and has become a profoundly significant global issue. Fraud touches every area of our lives and is a growing concern that effects both businesses and customers. As machine learning techniques provide unique and efficient solutions, they are applicable in various types of problems. Recently, machine learning algorithms have been widely applied as a data mining technique for classification problems. In this paper, a binary classification problem is considered where a transaction can be classified as either fraudulent or legitimate transaction. The goal is to classify the transactions using five different machine learning algorithms. The transaction dataset (Task1 and Task2) is preprocessed, and then SGD, DT, RF, J48 and IBk machine learning classifiers are applied. After applying the classifiers, the results are compared to analyze which classifier performs the best. Based on the experimental results, it is found that the accuracy percentage of all the five classifiers for Task1 and Task2 datasets is ranging between 97.78% to 98.1%, with no major difference. As the dataset is highly imbalanced, the kappa statistic value is also considered. For both datasets, the RF classifier had the greatest value of kappa statistics, whereas SGD and J48 had the lowest value for Task1 and Task2, respectively. Other evaluation metrics were also considered for evaluating the performance of the applied classifiers. Overall, these classifiers achieved similar results for Task2 dataset. As negative Kappa statics and MCC values were obtained, the SGD classifier for Task2 dataset had the worst results in comparison. Based on evaluation criteria such as Kappa statistic and MCC values RF outperformed the others for both the datasets.","","978-1-7281-9673-2","10.1109/3ICT51146.2020.9312025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9312025","classification;credit and debit cards transactions;ML algorithms;imbalanced data;fraud detection","Credit cards;Machine learning algorithms;Task analysis;Hidden Markov models;Machine learning;Classification algorithms;Decision trees","data mining;electronic commerce;financial data processing;fraud;learning (artificial intelligence);pattern classification;support vector machines","fraudulent transaction detection;online transactions purchases;debit card fraud;profoundly significant global issue;machine learning techniques;data mining technique;classification problems;binary classification problem;legitimate transaction;transaction dataset;IBk machine learning classifiers;Task2 dataset;kappa statistic value;RF classifier;kappa statistics;applied classifiers;MCC values;SGD classifier","","","","37","","8 Jan 2021","","","IEEE","IEEE Conferences"
"Evaluation of ensemble machine learning methods in mobile threat detection","S. Kumar; A. Viinikainen; T. Hamalainen","Faculty of Information Technology, University of Jyvaskyla, Jyvaskyla, Finland; Faculty of Information Technology, University of Jyvaskyla, Jyvaskyla, Finland; Faculty of Information Technology, University of Jyvaskyla, Jyvaskyla, Finland","2017 12th International Conference for Internet Technology and Secured Transactions (ICITST)","10 May 2018","2017","","","261","268","The rapid growing trend of mobile devices continues to soar causing massive increase in cyber security threats. Most pervasive threats include ransom-ware, banking malware, premium SMS fraud. The solitary hackers use tailored techniques to avoid detection by the traditional antivirus. The emerging need is to detect these threats by any flow-based network solution. Therefore, we propose and evaluate a network based model which uses ensemble Machine Learning (ML) methods in order to identify the mobile threats, by analyzing the network flows of the malware communication. The ensemble ML methods not only protect over-fitting of the model but also cope with the issues related to the changing behavior of the attackers. The focus of this study is on android based mobile malwares due to its popularity among users. We have used ensemble methods to combine output of 5 supervised ML algorithms such as RF, PART, JRIP, J.48 and Ridor. Based on the evaluation results, the proposed model was found efficient at detecting known and unknown threats with the accuracy of 98.2%.","","978-1-908320-93-3","10.23919/ICITST.2017.8356396","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8356396","Intrusion Detection;Machine Learning;Ensemble Methods;Supervised Machine Learning;Mobile Threats;Anomaly Detection","Machine learning;Malware;Feature extraction;Machine learning algorithms;Decision trees;Internet;Mobile handsets","invasive software;learning (artificial intelligence);mobile computing","ensemble machine;mobile threats;malware communication;ensemble ML methods;ensemble methods;unknown threats;mobile threat detection;rapid growing trend;mobile devices;cyber security threats;pervasive threats;ransom-ware;premium SMS fraud;solitary hackers;flow-based network solution;network based model;ML methods;supervised ML algorithms;antivirus;Android based mobile malwares","","","","34","","10 May 2018","","","IEEE","IEEE Conferences"
"Explainable Visualization for Interactive Exploration of CNN on Wikipedia Vandal Detection","Z. Liu; A. Lu","UNC Charlotte,Department of Computer Science,Charlotte,US; UNC Charlotte,Department of Computer Science,Charlotte,US","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","2354","2363","Machine learning (ML) algorithms have greatly improved the performances of many computationally expensive operations, including detection of frauds and attacks for security applications. However, these algorithms are often hard for users to interpret or modify due to their hidden processes. This paper presents an explainable visualization approach to provide a set of developer tools that enable users to apply ML algorithms efficiently without requiring users to understand the algorithms completely. We use an algorithm of convolutional neural network (CNN) for Wikipedia vandal detection as an example. Our highly coordinated visualizations serve as a visual analytics interface for developers to analyze the behaviors of algorithms and large-scale data. It enables users to study hidden relationships among the spaces of data, algorithm parameters, and results that are essential to understand the CNN detection mechanism. We provide several case studies to demonstrate how our approach can be used to explore the clusters of parameter space, identify outlier of parameters or data, study the parameter sensitivity ranges, and select suitable ranges of parameter for combined criteria (e.g., covering selected important cases and maintaining relative high success ratio) that are hard to describe with single objective functions. Due to the complexity of the problem, we also discuss the limitations of our approach and future work.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9006128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006128","Explainable visualization;CNN;vandal detection;Wikipedia user behavior","Data visualization;Encyclopedias;Electronic publishing;Internet;Tools;Visualization","convolutional neural nets;data analysis;data visualisation;encyclopaedias;fraud;learning (artificial intelligence);security of data;Web sites","algorithm parameters;large-scale data;visual analytics interface;convolutional neural network;ML algorithms;explainable visualization approach;security applications;frauds;machine learning algorithms;Wikipedia vandal detection;interactive exploration;parameter sensitivity ranges;parameter space;CNN detection mechanism","","","","35","","24 Feb 2020","","","IEEE","IEEE Conferences"
"Machine Learning Applied to Rotating Check Fraud Detection","C. Hines; A. Youssef","Dept. of Comput. Sci., George Washington Univ., Washington, DC, USA; Dept. of Comput. Sci., George Washington Univ., Washington, DC, USA","2018 1st International Conference on Data Intelligence and Security (ICDIS)","28 May 2018","2018","","","32","35","Given small profit margins, independently owned and operated restaurants are highly sensitive to insider fraud and yet have scant resources to combat the problem. This paper is the first open research to apply machine learning (ML) techniques to detecting insider fraud in point-of-sales transaction data in the restaurant industry. We show that after applying under-sampling techniques and carefully engineering features, ML can deliver very high fraud-detection performance. Knowledge about engineered features, algorithm selection, performance, and tuning gained from this research can be applied in future research on fraud detection of restaurant data.","","978-1-5386-5762-1","10.1109/ICDIS.2018.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367636","machine learning;classification;imbalanced data;fraud detection;point-of-sale data;restaurant industry","Support vector machines;Principal component analysis;Machine learning;Training;Testing;Feature extraction;Machine learning algorithms","catering industry;fraud;learning (artificial intelligence);sampling methods","high fraud-detection performance;engineered features;restaurant data;rotating check fraud detection;independently owned operated restaurants;insider fraud;scant resources;open research;machine learning techniques;ML;point-of-sales transaction data;restaurant industry;carefully engineering features;small profit margins;algorithm selection;under-sampling techniques","","1","","16","","28 May 2018","","","IEEE","IEEE Conferences"
"Business process anomaly detection using ontology-based process modelling and Multi-Level Class Association Rule Learning","R. Sarno; F. P. Sinaga","Department of Informatics, Institut Teknologi Sepuluh Nopember (ITS), Surabaya, Indonesia; Department of Informatics, Institut Teknologi Sepuluh Nopember (ITS), Surabaya, Indonesia","2015 International Conference on Computer, Control, Informatics and its Applications (IC3INA)","11 Jan 2016","2015","","","12","17","Many companies in the world have used the business process management system (BPMS). This system is used to manage and analyze the running business process in the company. Every business process has a possibility to have changes in its realization. Those changes generate some variations of the business process. The variations, can be in line with the company's principles and or become an anomaly for the company. These anomalies can cause frauds which make some losses for the company. In order to reduce the losses, business process anomaly detection method is needed. This paper proposed ontology-based process modeling to model and capture the business process anomalies and the method of multi-level class association rule learning (ML-CARL) to detect fraud in business process. From the experiment which have been done in this paper, the accuracy of 0.99 was obtained from the ML-CARL method. It could be concluded that ontology-based process modeling and the ML-CARL method can detect business process anomalies well.","","978-1-4799-8773-3","10.1109/IC3INA.2015.7377738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7377738","formatting;style;styling;insert","Standards;Companies;Ontologies;OWL;Association rules;Data models","business data processing;data mining;ontologies (artificial intelligence);security of data","business process anomaly detection;ontology-based process modelling;multilevel class association rule learning;business process management system;BPMS;ML-CARL","","18","","21","","11 Jan 2016","","","IEEE","IEEE Conferences"
"A Digital DNA Sequencing Engine for Ransomware Detection Using Machine Learning","F. Khan; C. Ncube; L. K. Ramasamy; S. Kadry; Y. Nam","Higher Colleges of Technology, Dubai, United Arab Emirates; Department of Computer and Information Sciences, British University in Dubai, Dubai, United Arab Emirates; Hindusthan College of Engineering and Technology, Coimbatore, India; Department of Mathematics and Computer Science, Faculty of Science, Beirut Arab University, Beirut, Lebanon; Department of Computer Science and Engineering, Soonchunhyang University, Asan, South Korea","IEEE Access","7 Jul 2020","2020","8","","119710","119719","Malware is `malicious software' programs that carry out many of the cyberattacks on the Internet, including cybercrime, fraud, scams and nation-state cyberwar. These malicious software programs come in a wide range of different classifications such as viruses, Trojans, worms, spyware, botnet malware, ransomware, Rootkit, etc. Ransomware is class of malware that holds the victim's data hostage by encrypting the data on a user's computer to make it unavailable to the user and only decrypt it after the user pays a ransom in the form of a sum of money. To avoid detection, different variants of ransomware utilise one or more techniques in their attack flow including Machine Learning (ML) algorithms. There is, therefore, a need to understand the techniques used ransomware development and their deployment strategy in order to understand their attack flow better to develop appropriate countermeasures. In this paper, we propose DNAact-Ran, A Digital DNA Sequencing Engine for Ransomware Detection Using Machine Learning. DNAact-Ran utilises Digital DNA sequencing design constraints and k-mer frequency vector. To measure the efficacy of the proposed approach, we evaluated DNAact-Run on 582 ransomware and 942 goodware instances to measure the performance of precision, recall, f-measure and accuracy. Compared to other methods, the evaluation results show that DNAact-Run can predict and detect ransomware accurately and effectively.","2169-3536","","10.1109/ACCESS.2020.3003785","Korea Institute for Advancement of Technology (KIAT) through the Korea Government (Competency Development Program for Industry Specialist)(grant numbers:MOTIE P0012724); Soonchunhyang University Research Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9121260","Ransomware;digital DNA sequence;machine learning;active learning","Ransomware;DNA;Cryptography;Sequential analysis;Engines;Machine learning algorithms","biocomputing;computer network security;cryptography;Internet;invasive software;learning (artificial intelligence)","k-mer frequency vector;ML algorithm;attack flow;data encryption;data hostage;Internet;cyberattacks;digital DNA sequencing engine;digital DNA sequencing design constraints;classifications;nation-state cyberwar;malicious software programs;DNAact-Run;ransomware detection;ransomware development;machine learning algorithms","","1","","29","CCBY","19 Jun 2020","","","IEEE","IEEE Journals"
"Convolutional Long Short Term Memory Model for Credit Card Detection","G. K. Arun; K. Venkatachalapathy","Annamalai University,Department of Computer and Information Science,Chidambaram,India; Annamalai University,Department of Computer and Information Science,Chidambaram,India","2020 4th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","28 Dec 2020","2020","","","1168","1172","At present times, credit card frauds appears as a major issue of stealing and fraud obligation using payment cards such as credit or debit cards. To prevent credit card frauds, several financial organizations were initiated to design effective models to detect the existence of frauds. The growth of Deep Learning (DL) models finds useful to examine the usual and unusual patterns along with separate transactions for raising an alert for probable frauds. This paper presents a novel DL based convolutional long short term memory (C-LSTM) model for credit fraud detection. The proposed C-LSTM model involves preprocessing, and classification. The preprocessed data undergo classification using the C-LSTM model to detect the occurrence of credit card frauds or not. The performance of the C-LSTM model is validated using German Credit and Kaggle's Credit Card Fraud Detection dataset. The attained experimental values portrayed that the C-LSTM model has shown proficient performance with the accuracy of 94% and 94.65% on the applied German credit and Credit card fraud detection dataset.","","978-1-7281-6387-1","10.1109/ICECA49313.2020.9297606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9297606","Deep learning;Data mining;Neural Networks (NN);Machine Learning (ML);Support Vector Machine (SVM)","Credit cards;Logic gates;Data models;Support vector machines;Organizations;Conferences;Aerospace electronics","credit transactions;fraud;learning (artificial intelligence);probability","convolutional long short term memory model;Credit Card Detection;credit card frauds;stealing fraud obligation;payment cards;effective models;Deep Learning models;probable frauds;credit fraud detection;C-LSTM model;Kaggle's Credit Card Fraud Detection dataset;applied German credit","","","","14","","28 Dec 2020","","","IEEE","IEEE Conferences"
"Avoiding the Phishing Bait: The Need for Conventional Countermeasures for Mobile Users","S. Baadel; F. Thabtah; A. Majeed","Canadian University, Dubai & University of Huddersfield, UK; Manukau Institute of Technology, New Zealand; Birmingham City University, United Kingdom","2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","17 Jan 2019","2018","","","421","425","According to the international Anti-Phishing Work Group (APWG), phishing activities have significantly risen over the last few years, and users are becoming more susceptible to online and mobile fraud. Machine Learning (ML) techniques have the potential for building technical anti-phishing models, a majority of them have yet to be applied in a real-time environment. ML models also require domain experts to interpret the results. This gives conventional techniques a vital role as supportive tools for a wider audience, especially novice users, in order to reduce the rate of phishing attacks. Our paper aims at raising awareness and educating users on phishing in general and mobile phishing in particular from a conventional perspective, unlike existing reviews that are based on data mining and machine learning. This will equip individuals with knowledge and skills that may prevent phishing on a wider context within the mobile users' community.","","978-1-5386-7266-2","10.1109/IEMCON.2018.8615095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615095","Anti-phishing;Cyber Security;Embedded Training;Smishing","Phishing;Mobile handsets;Training;Tools;Games;Social network services","computer crime;data mining;fraud;mobile computing","phishing activities;online fraud;mobile fraud;ML models;phishing attacks;mobile phishing;mobile users;phishing bait;international anti-phishing work group;APWG;machine learning;data mining","","","","34","","17 Jan 2019","","","IEEE","IEEE Conferences"
"A Comparative Study of Credit Card Fraud Detection Using the Combination of Machine Learning Techniques with Data Imbalance Solution","F. Ahmed; R. Shamsuddin","Research Associate, Research Wing Bangladesh Institute of Governance and Management (BIGM),Dhaka,Bangladesh; Oklahoma State University,Dept. of Computer Science,Stillwater,OK,USA","2021 2nd International Conference on Computing and Data Science (CDS)","5 Jul 2021","2021","","","112","118","Due to the rapid spread of fraud and cybersecurity risks in digital economy, fraud detection stands as a prime issue of modern technology. However, the analysis of fraud cases is computationally difficult because, fraud cases conjure less than 0.2% of the transactions. Thus to figure out the best classification technique to use for fraud detection, this paper has conducted a thorough experimentation of Machine Learning (ML) techniques. It has implemented six ML techniques i.e. Logistic Regression (LR), Support Vector Machine (SVM), Naíve Bayes (NB), Random forest (RF), Decision Tree (DT), and K-nearest neighbour (KNN) classifiers to detect credit card fraud. The investigation used five type of datasets i.e. imbalanced data, Under Sampled (US) data, Over Sampled (OS) data, sampled data using Synthetic Minority Over Sampling Technique (SMOTE) and Adaptive Synthetic Sampling Method for Imbalanced Data (ADASYN). The best combination of these classification approaches is selected based on five performance evaluation criteria i.e. Accuracy, Area Under the Curve (AUC), Precision, Recall score and fl-score. After evaluation of the classifiers it has showed that among 30 different classification approaches, RF classifier with over sampling (OS) technique was found to be the best approach in terms of all the performance criteria. It showed 99.99 % accurate and precise results with 99.99 % AUC, fl-score and 100 % Recall rate. Our choosen approach has obtained the highest accuracy over other studies on the same dataset. The banking sector as well as other financial institutions might use this suggested machine learning based combination approach to minimize (debit/credit card) frauds.","","978-1-6654-0428-0","10.1109/CDS52072.2021.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463288","Credit Card Fraud;Imbalance data solution;Machine Learning;ROC Curve;Classification","Support vector machines;Radio frequency;Performance evaluation;Data science;Credit cards;Sampling methods;Computer security","credit transactions;decision trees;fraud;learning (artificial intelligence);pattern classification;regression analysis;sampling methods;security of data;support vector machines","credit card fraud detection;Machine Learning techniques;Data imbalance solution;cybersecurity risks;digital economy;fraud cases;classification technique;ML techniques;Support Vector Machine;neighbour classifiers;imbalanced data;sampled data;Adaptive Synthetic Sampling Method;RF classifier;fl-score;machine learning;combination approach;classification approaches","","","","22","","5 Jul 2021","","","IEEE","IEEE Conferences"
